Candidate 0000412HERMY B. ALMONTE                                  0000001000007500
Candidate 0000413JIM PROLA                                         0000002000007500
Candidate 0000099Write-In                                          0000003000007510
Contest   0000075Member, City Council, Dist. 6 - San Leandro (RCV) 0000075000000000
Precinct  0000689831230                                            0000689000000000
Precinct  0000690831300                                            0000690000000000
Precinct  0000691831400                                            0000691000000000
Precinct  0000692831410                                            0000692000000000
Precinct  0000693831500                                            0000693000000000
Precinct  0000694831510                                            0000694000000000
Precinct  0000695831610                                            0000695000000000
Precinct  0000696831700                                            0000696000000000
Precinct  0000697831710                                            0000697000000000
Precinct  0000698831810                                            0000698000000000
Precinct  0000699831830                                            0000699000000000
Precinct  0000700831900                                            0000700000000000
Precinct  0000701831920                                            0000701000000000
Precinct  0000702832000                                            0000702000000000
Precinct  0000703832010                                            0000703000000000
Precinct  0000704832200                                            0000704000000000
Precinct  0000705832210                                            0000705000000000
Precinct  0000706832300                                            0000706000000000
Precinct  0000707832500                                            0000707000000000
Precinct  0000708832510                                            0000708000000000
Precinct  0000709832600                                            0000709000000000
Precinct  0000710832620                                            0000710000000000
Precinct  0000711832800                                            0000711000000000
Precinct  0000712832810                                            0000712000000000
Precinct  0000713832900                                            0000713000000000
Precinct  0000714833000                                            0000714000000000
Precinct  0000715833100                                            0000715000000000
Precinct  0000716833200                                            0000716000000000
Precinct  0000717833210                                            0000717000000000
Precinct  0000718833300                                            0000718000000000
Precinct  0000719833310                                            0000719000000000
Precinct  0000720833400                                            0000720000000000
Precinct  0000721833500                                            0000721000000000
Precinct  0000722833610                                            0000722000000000
Precinct  0000723833700                                            0000723000000000
Precinct  0000724833710                                            0000724000000000
Precinct  0000725834000                                            0000725000000000
Precinct  0000726834200                                            0000726000000000
Precinct  0000727834400                                            0000727000000000
Precinct  0000728834600                                            0000728000000000
Precinct  0000729834700                                            0000729000000000
Precinct  0000730835000                                            0000730000000000
Precinct  0000731835100                                            0000731000000000
Precinct  0000732835300                                            0000732000000000
Precinct  0000733835310                                            0000733000000000
Precinct  0000734835500                                            0000734000000000
Precinct  0000735835600                                            0000735000000000
Precinct  0000736835700                                            0000736000000000
Precinct  0000737835730                                            0000737000000000
Precinct  0000738835800                                            0000738000000000
Precinct  0000739835820                                            0000739000000000
Precinct  0000740835900                                            0000740000000000
Precinct  0000741836000                                            0000741000000000
Precinct  0000742836110                                            0000742000000000
Precinct  0000743836200                                            0000743000000000
Precinct  0000744836210                                            0000744000000000
Precinct  0000745836400                                            0000745000000000
Precinct  0000746836500                                            0000746000000000
Precinct  0000747836600                                            0000747000000000
Precinct  0000748837000                                            0000748000000000
Precinct  0000749837100                                            0000749000000000
Precinct  0000750837200                                            0000750000000000
Precinct  0000751837300                                            0000751000000000
Precinct  0000752837400                                            0000752000000000
Precinct  0000753837500                                            0000753000000000
Precinct  0000754837600                                            0000754000000000
Precinct  0000755837700                                            0000755000000000
Precinct  0000756837710                                            0000756000000000
Precinct  0000757837800                                            0000757000000000
Precinct  0000758837900                                            0000758000000000
Precinct  0000759838000                                            0000759000000000
Precinct  0000760838110                                            0000760000000000
Precinct  0000761838300                                            0000761000000000
Precinct  0000762838500                                            0000762000000000
Precinct  0000763838600                                            0000763000000000
Precinct  0000764838700                                            0000764000000000
Precinct  0000765839530                                            0000765000000000
Precinct  0000766850300                                            0000766000000000
Precinct  0000767850320                                            0000767000000000
Precinct  0000768850330                                            0000768000000000
Precinct  0000769850400                                            0000769000000000
Precinct  0000770850410                                            0000770000000000
Precinct  0000771850500                                            0000771000000000
Precinct  0000772850600                                            0000772000000000
Precinct  0000773850800                                            0000773000000000
Precinct  0000774850810                                            0000774000000000
Precinct  0000775850900                                            0000775000000000
Precinct  0000776851000                                            0000776000000000
Precinct  0000777851200                                            0000777000000000
Precinct  0000778851300                                            0000778000000000
Precinct  0000779851500                                            0000779000000000
Precinct  0000780851510                                            0000780000000000
Precinct  0000781851520                                            0000781000000000
Precinct  0000782851600                                            0000782000000000
Precinct  0000783851700                                            0000783000000000
Precinct  0000784851800                                            0000784000000000
Precinct  0000785852010                                            0000785000000000
Precinct  0000786852100                                            0000786000000000
Precinct  0000787866800                                            0000787000000000
Precinct  00007889203900                                           0000788000000000
Precinct  00007899205550                                           0000789000000000
Precinct  00007909207610                                           0000790000000000
Precinct  00007919207620                                           0000791000000000
Precinct  00007929209910                                           0000792000000000
Precinct  00007939213000                                           0000793000000000
Precinct  00007949215630                                           0000794000000000
Precinct  00007959215810                                           0000795000000000
Precinct  00007969223100                                           0000796000000000
Precinct  00007979223110                                           0000797000000000
Precinct  00007989224300                                           0000798000000000
Precinct  00007999224420                                           0000799000000000
Precinct  00008009224430                                           0000800000000000
Precinct  00008019224710                                           0000801000000000
Precinct  00008029224810                                           0000802000000000
Precinct  00008039224910                                           0000803000000000
Precinct  00008049225500                                           0000804000000000
Precinct  00008059244110                                           0000805000000000
Precinct  00008069244910                                           0000806000000000
Precinct  00008079325000                                           0000807000000000
Precinct  00008089333300                                           0000808000000000
Precinct  00008099333310                                           0000809000000000
Precinct  00008109333420                                           0000810000000000
Precinct  00008119333610                                           0000811000000000
Precinct  00008129333910                                           0000812000000000
Precinct  00008139333920                                           0000813000000000
Precinct  00008149333930                                           0000814000000000
Precinct  00008159334510                                           0000815000000000
Precinct  00008169335110                                           0000816000000000
Precinct  00008179335600                                           0000817000000000
Precinct  00008189335800                                           0000818000000000
Precinct  00008199335910                                           0000819000000000
Precinct  00008209336300                                           0000820000000000
Precinct  00008219336810                                           0000821000000000
Precinct  00008229336910                                           0000822000000000
Precinct  00008239345300                                           0000823000000000
Precinct  00008249345710                                           0000824000000000
Precinct  00008259347110                                           0000825000000000
Precinct  00008269347210                                           0000826000000000
Precinct  00008279355210                                           0000827000000000
Precinct  00008289356400                                           0000828000000000
Precinct  00008299360900                                           0000829000000000
Precinct  00008309361000                                           0000830000000000
Precinct  00008319361210                                           0000831000000000
Precinct  00008329361400                                           0000832000000000
Precinct  00008339362000                                           0000833000000000
Precinct  00008349362210                                           0000834000000000
Precinct  00008359364020                                           0000835000000000
Precinct  00008369364030                                           0000836000000000
Precinct  00008379364210                                           0000837000000000
Precinct  00008389364320                                           0000838000000000
Precinct  00008399364330                                           0000839000000000
Precinct  00008409373000                                           0000840000000000
Precinct  00008419373010                                           0000841000000000
Precinct  00008429373020                                           0000842000000000
Precinct  00008439373030                                           0000843000000000
Precinct  00008449394000                                           0000844000000000
Precinct  00008459394100                                           0000845000000000
Precinct  00008469394200                                           0000846000000000
Precinct  00008479416220                                           0000847000000000
Precinct  00008489420010                                           0000848000000000
Precinct  00008499420020                                           0000849000000000
Precinct  00008509420030                                           0000850000000000
Precinct  00008519420040                                           0000851000000000
Precinct  00008529420050                                           0000852000000000
Precinct  00008539420200                                           0000853000000000
Precinct  00008549420210                                           0000854000000000
Precinct  00008559420220                                           0000855000000000
Precinct  00008569420230                                           0000856000000000
Precinct  00008579420240                                           0000857000000000
Precinct  00008589420250                                           0000858000000000
Precinct  00008599420300                                           0000859000000000
Precinct  00008609420310                                           0000860000000000
Precinct  00008619420320                                           0000861000000000
Precinct  00008629420610                                           0000862000000000
Precinct  00008639420800                                           0000863000000000
Precinct  00008649422930                                           0000864000000000
Precinct  00008659422940                                           0000865000000000
Precinct  00008669423620                                           0000866000000000
Precinct  00008679423700                                           0000867000000000
Precinct  00008689423800                                           0000868000000000
Precinct  00008699423810                                           0000869000000000
Precinct  00008709424200                                           0000870000000000
Precinct  00008719430010                                           0000871000000000
Precinct  00008729430020                                           0000872000000000
Precinct  00008739430110                                           0000873000000000
Precinct  00008749430120                                           0000874000000000
Precinct  00008759430130                                           0000875000000000
Precinct  00008769430140                                           0000876000000000
Precinct  00008779430150                                           0000877000000000
Precinct  00008789430160                                           0000878000000000
Precinct  00008799430410                                           0000879000000000
Precinct  00008809430420                                           0000880000000000
Precinct  00008819430500                                           0000881000000000
Precinct  00008829430510                                           0000882000000000
Precinct  00008839430710                                           0000883000000000
Precinct  00008849430720                                           0000884000000000
Precinct  00008859430800                                           0000885000000000
Precinct  00008869430820                                           0000886000000000
Precinct  00008879430870                                           0000887000000000
Precinct  00008889431110                                           0000888000000000
Precinct  00008899431200                                           0000889000000000
Precinct  00008909431210                                           0000890000000000
Precinct  00008919431300                                           0000891000000000
Precinct  00008929431310                                           0000892000000000
Precinct  00008939431400                                           0000893000000000
Precinct  00008949431500                                           0000894000000000
Precinct  00008959431610                                           0000895000000000
Precinct  00008969431620                                           0000896000000000
Precinct  00008979431700                                           0000897000000000
Precinct  00008989431900                                           0000898000000000
Precinct  00008999432910                                           0000899000000000
Precinct  00009009433630                                           0000900000000000
Precinct  00009019438120                                           0000901000000000
Precinct  00009029438140                                           0000902000000000
Precinct  00009039438500                                           0000903000000000
Precinct  00009049442610                                           0000904000000000
Precinct  00009059442800                                           0000905000000000
Precinct  00009069442820                                           0000906000000000
Precinct  00009079443110                                           0000907000000000
Precinct  00009089443600                                           0000908000000000
Precinct  00009099443700                                           0000909000000000
Precinct  00009109443710                                           0000910000000000
Precinct  00009119443720                                           0000911000000000
Precinct  00009129443800                                           0000912000000000
Precinct  00009139447010                                           0000913000000000
Precinct  00009149447020                                           0000914000000000
Precinct  00009159447040                                           0000915000000000
Precinct  00009169447100                                           0000916000000000
Precinct  00009179447120                                           0000917000000000
Precinct  00009189447210                                           0000918000000000
Precinct  00009199447220                                           0000919000000000
Precinct  00009209447300                                           0000920000000000
Precinct  00009219447510                                           0000921000000000
Precinct  00009229447620                                           0000922000000000
Precinct  00009239447700                                           0000923000000000
Precinct  00009249447710                                           0000924000000000
Precinct  00009259447720                                           0000925000000000
Precinct  00009269450920                                           0000926000000000
Precinct  00009279450930                                           0000927000000000
Precinct  00009289451500                                           0000928000000000
Precinct  00009299452000                                           0000929000000000
Precinct  00009309454220                                           0000930000000000
Precinct  00009319454230                                           0000931000000000
Precinct  00009329454600                                           0000932000000000
Precinct  00009339454700                                           0000933000000000
Precinct  00009349454800                                           0000934000000000
Precinct  00009359455010                                           0000935000000000
Precinct  00009369455200                                           0000936000000000
Precinct  00009379455210                                           0000937000000000
Precinct  00009389455410                                           0000938000000000
Precinct  00009399456610                                           0000939000000000
Precinct  00009409458920                                           0000940000000000
Precinct  00009419464000                                           0000941000000000
Precinct  00009429464010                                           0000942000000000
Precinct  00009439464030                                           0000943000000000
Precinct  00009449464100                                           0000944000000000
Precinct  00009459464300                                           0000945000000000
Precinct  00009469464310                                           0000946000000000
Precinct  00009479464320                                           0000947000000000
Precinct  00009489464500                                           0000948000000000
Precinct  00009499464600                                           0000949000000000
Precinct  00009509464700                                           0000950000000000
Precinct  00009519464710                                           0000951000000000
Precinct  00009529470100                                           0000952000000000
Precinct  00009539470310                                           0000953000000000
Precinct  00009549470700                                           0000954000000000
Precinct  00009559475010                                           0000955000000000
Precinct  00009569475300                                           0000956000000000
Precinct  00009579475600                                           0000957000000000
Precinct  00009589476120                                           0000958000000000
Precinct  00009599480010                                           0000959000000000
Precinct  00009609481110                                           0000960000000000
Precinct  00009619481310                                           0000961000000000
Precinct  00009629481430                                           0000962000000000
Precinct  00009639481520                                           0000963000000000
Precinct  00009649481540                                           0000964000000000
Precinct  00009659481810                                           0000965000000000
Precinct  00009669481900                                           0000966000000000
Precinct  00009679481910                                           0000967000000000
Precinct  00009689482000                                           0000968000000000
Precinct  00009699482010                                           0000969000000000
Precinct  00009709482020                                           0000970000000000
Precinct  00009719484000                                           0000971000000000
Precinct  00009729484010                                           0000972000000000
Precinct  00009739490040                                           0000973000000000
Precinct  00009749490100                                           0000974000000000
Precinct  00009759490120                                           0000975000000000
Precinct  00009769490200                                           0000976000000000
Precinct  00009779490300                                           0000977000000000
Precinct  00009789491010                                           0000978000000000
Precinct  00009799491020                                           0000979000000000
Precinct  00009809491040                                           0000980000000000
Precinct  00009819491050                                           0000981000000000
Precinct  00009829491080                                           0000982000000000
Precinct  00009839491410                                           0000983000000000
Precinct  00009849491600                                           0000984000000000
Precinct  00009859491610                                           0000985000000000
Precinct  00009869491630                                           0000986000000000
Precinct  00009879492000                                           0000987000000000
Precinct  00009889492040                                           0000988000000000
Precinct  00009899492120                                           0000989000000000
Precinct  00009909498200                                           0000990000000000
Precinct  00009919498220                                           0000991000000000
Precinct  00009929498300                                           0000992000000000
Precinct  00009939498320                                           0000993000000000
Precinct  00009949499010                                           0000994000000000
Precinct  00009959500220                                           0000995000000000
Precinct  00009969500510                                           0000996000000000
Precinct  00009979501710                                           0000997000000000
Precinct  00009989502910                                           0000998000000000
Precinct  00009999502920                                           0000999000000000
Precinct  00010009510100                                           0001000000000000
Precinct  00010019510110                                           0001001000000000
Precinct  00010029510120                                           0001002000000000
Precinct  00010039510140                                           0001003000000000
Precinct  00010049510150                                           0001004000000000
Precinct  00010059510300                                           0001005000000000
Precinct  00010069510320                                           0001006000000000
Precinct  00010079510410                                           0001007000000000
Precinct  00010089510500                                           0001008000000000
Precinct  00010099510610                                           0001009000000000
Precinct  00010109510700                                           0001010000000000
Precinct  00010119510720                                           0001011000000000
Precinct  00010129510730                                           0001012000000000
Precinct  00010139510810                                           0001013000000000
Precinct  00010149510840                                           0001014000000000
Precinct  00010159510890                                           0001015000000000
Precinct  00010169510910                                           0001016000000000
Precinct  00010179510920                                           0001017000000000
Precinct  00010189510950                                           0001018000000000
Precinct  00010199510960                                           0001019000000000
Precinct  00010209510970                                           0001020000000000
Precinct  00010219510980                                           0001021000000000
Precinct  00010229510990                                           0001022000000000
Precinct  00010239511000                                           0001023000000000
Precinct  00010249520250                                           0001024000000000
Precinct  00010259520720                                           0001025000000000
Precinct  00010269520730                                           0001026000000000
Precinct  00010279521700                                           0001027000000000
Precinct  00010289522160                                           0001028000000000
Precinct  00010299523100                                           0001029000000000
Precinct  00010309523120                                           0001030000000000
Precinct  00010319530200                                           0001031000000000
Precinct  00010329532000                                           0001032000000000
Precinct  00010339532100                                           0001033000000000
Precinct  00010349532200                                           0001034000000000
Precinct  00010359532400                                           0001035000000000
Precinct  00010369535000                                           0001036000000000
Precinct  00010379535020                                           0001037000000000
Precinct  00010389535030                                           0001038000000000
Precinct  00010399535040                                           0001039000000000
Precinct  00010409535050                                           0001040000000000
Precinct  00010419535060                                           0001041000000000
Precinct  00010429535070                                           0001042000000000
Precinct  00010439535090                                           0001043000000000
Precinct  00010449535200                                           0001044000000000
Precinct  00010459535300                                           0001045000000000
Precinct  00010469535400                                           0001046000000000
Precinct  00010479535500                                           0001047000000000
Precinct  00010489535600                                           0001048000000000
Precinct  00010499535700                                           0001049000000000
Precinct  00010509535900                                           0001050000000000
Precinct  00010519540400                                           0001051000000000
Precinct  00010529547710                                           0001052000000000
Precinct  00010539547720                                           0001053000000000
Precinct  00010549547770                                           0001054000000000
Precinct  00010559810900                                           0001055000000000
Precinct  00010569815120                                           0001056000000000
Precinct  00010579819020                                           0001057000000000
Precinct  00010589821010                                           0001058000000000
Precinct  00010599821020                                           0001059000000000
Precinct  00010609821310                                           0001060000000000
Precinct  00010619821720                                           0001061000000000
Precinct  00010629822020                                           0001062000000000
Precinct  00010639823030                                           0001063000000000
Precinct  00010649823040                                           0001064000000000
Precinct  00010659831220                                           0001065000000000
Precinct  00010669834020                                           0001066000000000
Precinct  00010679837020                                           0001067000000000
Precinct  00010689837410                                           0001068000000000
Precinct  00010699839000                                           0001069000000000
Precinct  00010709839030                                           0001070000000000
Precinct  00010719839060                                           0001071000000000
Precinct  00010729839120                                           0001072000000000
Precinct  00010739839200                                           0001073000000000
Precinct  00010749839210                                           0001074000000000
Precinct  00010759839220                                           0001075000000000
Precinct  00010769839230                                           0001076000000000
Precinct  00010779839240                                           0001077000000000
Precinct  00010789839300                                           0001078000000000
Precinct  00010799839310                                           0001079000000000
Precinct  00010809839330                                           0001080000000000
Precinct  00010819839360                                           0001081000000000
Precinct  00010829839400                                           0001082000000000
Precinct  00010839839500                                           0001083000000000
Precinct  00010849839510                                           0001084000000000
Precinct  00010859866820                                           0001085000000000
Precinct  00010869866900                                           0001086000000000
Precinct  00010879866910                                           0001087000000000
Precinct  00010889866920                                           0001088000000000
Precinct  00010899866930                                           0001089000000000
Precinct  00010909867100                                           0001090000000000
Precinct  00010919867200                                           0001091000000000
Precinct  00010929867320                                           0001092000000000
Precinct  00010939870000                                           0001093000000000
Precinct  00010949870010                                           0001094000000000
Precinct  00010959870100                                           0001095000000000
Precinct  00010969870110                                           0001096000000000
Precinct  00010979870150                                           0001097000000000
Precinct  00010989880200                                           0001098000000000
Precinct  00010999880400                                           0001099000000000
Precinct  00011009880500                                           0001100000000000
Tally Type0000001Election Day - Insight                            0000001000000000
Tally Type0000002Election Day - 400C                               0000002000000000
Tally Type0000003Vote by Mail - 400C                               0000003000000000
Tally Type0000004Provisional - 400C                                0000004000000000
Tally Type0000005Election Day - Edge                               0000005000000000
Tally Type0000006MVBM - 400C                                       0000006000000000
Tally Type0000007Election Day - External                           0000007000000000
