ballotID,rank1,rank2,rank3,rank4,rank5
12576,Alan Webber,Kate I. Noble,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
12577,Joseph M. Maestas,Alan Webber,skipped,skipped,skipped
12578,Ronald S. Trujillo,Kate I. Noble,Alan Webber,Peter N. Ives,Joseph M. Maestas
12579,Alan Webber,Joseph M. Maestas,Peter N. Ives,Kate I. Noble,skipped
12580,Kate I. Noble,Ronald S. Trujillo,skipped,skipped,skipped
12581,Alan Webber,Joseph M. Maestas,Kate I. Noble,Ronald S. Trujillo,Peter N. Ives
12582,Alan Webber,Kate I. Noble,skipped,skipped,skipped
12583,Ronald S. Trujillo,Kate I. Noble,Alan Webber,Joseph M. Maestas,Peter N. Ives
12584,Alan Webber,Kate I. Noble,Peter N. Ives,skipped,skipped
12585,Alan Webber,Joseph M. Maestas,skipped,skipped,skipped
12586,Alan Webber,Kate I. Noble,Ronald S. Trujillo,Joseph M. Maestas,Peter N. Ives
12587,Kate I. Noble,Joseph M. Maestas,Alan Webber,Peter N. Ives,Ronald S. Trujillo
12588,Alan Webber,Ronald S. Trujillo,Kate I. Noble,Joseph M. Maestas,Peter N. Ives
12589,Peter N. Ives,Alan Webber,Kate I. Noble,Ronald S. Trujillo,Joseph M. Maestas
12590,Alan Webber,Kate I. Noble,Ronald S. Trujillo,skipped,skipped
12591,Peter N. Ives,Alan Webber,Ronald S. Trujillo,Joseph M. Maestas,Ronald S. Trujillo
12592,Ronald S. Trujillo,Kate I. Noble,Alan Webber,Joseph M. Maestas,Peter N. Ives
12593,Ronald S. Trujillo,Alan Webber,Joseph M. Maestas,skipped,skipped
12594,Peter N. Ives,Alan Webber,Kate I. Noble,Joseph M. Maestas,Ronald S. Trujillo
12595,Joseph M. Maestas,Ronald S. Trujillo,Alan Webber,Kate I. Noble,Peter N. Ives
12596,Alan Webber,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo,Kate I. Noble
12597,Ronald S. Trujillo,Kate I. Noble,Joseph M. Maestas,skipped,skipped
12598,Kate I. Noble,Alan Webber,Peter N. Ives,Joseph M. Maestas,Ronald S. Trujillo
12599,Kate I. Noble,Alan Webber,Peter N. Ives,skipped,skipped
12600,Alan Webber,Ronald S. Trujillo,Peter N. Ives,Kate I. Noble,Joseph M. Maestas
12601,Kate I. Noble,Alan Webber,Peter N. Ives,skipped,skipped
12602,Ronald S. Trujillo,Joseph M. Maestas,Peter N. Ives,skipped,skipped
12603,Kate I. Noble,Kate I. Noble,Kate I. Noble,skipped,skipped
12604,Alan Webber,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
12605,Alan Webber,Joseph M. Maestas,Ronald S. Trujillo,Kate I. Noble,Peter N. Ives
12606,Kate I. Noble,Peter N. Ives,Joseph M. Maestas,Alan Webber,Ronald S. Trujillo
12607,Alan Webber,Joseph M. Maestas,Ronald S. Trujillo,Peter N. Ives,Kate I. Noble
12608,Alan Webber,Joseph M. Maestas,Kate I. Noble,skipped,skipped
12609,Alan Webber,Joseph M. Maestas,Kate I. Noble,Peter N. Ives,Ronald S. Trujillo
12610,Kate I. Noble,Alan Webber,Ronald S. Trujillo,Peter N. Ives,Joseph M. Maestas
12611,Alan Webber,Joseph M. Maestas,Peter N. Ives,Kate I. Noble,Ronald S. Trujillo
12612,Alan Webber,Ronald S. Trujillo,Peter N. Ives,skipped,skipped
12613,Kate I. Noble,Joseph M. Maestas,Alan Webber,Peter N. Ives,Ronald S. Trujillo
12614,Alan Webber,Kate I. Noble,Joseph M. Maestas,Ronald S. Trujillo,Peter N. Ives
12615,Kate I. Noble,Peter N. Ives,Ronald S. Trujillo,Joseph M. Maestas,Alan Webber
12616,Kate I. Noble,Alan Webber,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo
12617,Alan Webber,Alan Webber,Alan Webber,Alan Webber,Alan Webber
12618,Peter N. Ives,Alan Webber,Kate I. Noble,Joseph M. Maestas,Ronald S. Trujillo
12619,Kate I. Noble,Joseph M. Maestas,Alan Webber,Peter N. Ives,Ronald S. Trujillo
12620,Kate I. Noble,Alan Webber,Joseph M. Maestas,Ronald S. Trujillo,Peter N. Ives
12621,Ronald S. Trujillo,Kate I. Noble,skipped,skipped,skipped
12622,Ronald S. Trujillo,Joseph M. Maestas,Peter N. Ives,Alan Webber,Kate I. Noble
12623,Ronald S. Trujillo,Alan Webber,Kate I. Noble,Peter N. Ives,Joseph M. Maestas
12624,Kate I. Noble,Kate I. Noble,Kate I. Noble,Joseph M. Maestas,Ronald S. Trujillo
12625,Alan Webber,Joseph M. Maestas,Kate I. Noble,Peter N. Ives,Ronald S. Trujillo
12626,Ronald S. Trujillo,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,Alan Webber
12627,Peter N. Ives,Joseph M. Maestas,Alan Webber,Kate I. Noble,Ronald S. Trujillo
12628,Kate I. Noble,Joseph M. Maestas,Peter N. Ives,Ronald S. Trujillo,Alan Webber
12629,Peter N. Ives,Ronald S. Trujillo,Alan Webber,Joseph M. Maestas,Kate I. Noble
12630,Kate I. Noble,Joseph M. Maestas,Alan Webber,Peter N. Ives,Ronald S. Trujillo
12631,Alan Webber,Kate I. Noble,Joseph M. Maestas,Ronald S. Trujillo,Peter N. Ives
12632,Ronald S. Trujillo,Kate I. Noble,Peter N. Ives,Joseph M. Maestas,Alan Webber
12633,Kate I. Noble,Joseph M. Maestas,Ronald S. Trujillo,Peter N. Ives,Alan Webber
