record #,timestamp,county code,zip,Registered,Primary,Ballot,Biden defeats Trump,Bloomberg defeats Trump,Buttigieg defeats Trump,Gabbard defeats Trump,Klobuchar defeats Trump,Sanders defeats Trump,Steyer defeats Trump,Warren defeats Trump,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,Ranked choice voting,LDPV,Gender,Age ,<50 / 50+,Race ,Party Affiliation,Ideology,2016 vote,Education,Income,Martial status,Child < 18,Religion,Evangelical,Union HH,Military HH,LGBTQ HH,Urbanicity,Region,weight
610100XXXX,2/25/2020 22:18,17031,60628,1,6,2,75,75,50,50,50,75,50,50,1,2,6,9,,,,1,1,2,42,1,2,2,3,2,3,3,3,1,3,1,1,2,2,1,2,1.13871128
674100XXXX,2/25/2020 22:17,17031,60616,1,6,5,,,,,,,,,,,,,,,,,2,2,54,2,2,3,3,2,2,1,2,2,1,1,2,1,2,1,2,1.283936889
721100XXXX,2/25/2020 22:17,17031,60617,1,6,2,20,50,0,0,0,10,0,20,2,1,6,8,5,3,4,4,1,2,49,1,2,2,5,2,2,2,1,2,3,2,2,2,2,1,2,1.13871128
733100XXXX,2/25/2020 22:19,17031,60466,1,6,2,70,40,0,0,30,50,30,50,8,6,2,1,9,,,2,1,2,25,1,2,2,4,2,3,1,1,2,3,2,2,2,2,2,2,0.591456607
771100XXXX,2/25/2020 22:19,17031,60803,1,3,,20,0,5,0,0,30,40,0,,,,,,,,,2,2,36,1,3,3,3,1,1,1,2,1,2,3,2,2,2,2,2,0.606840063
856100XXXX,2/25/2020 22:19,17031,60445,1,3,,0,25,35,0,0,10,0,5,,,,,,,,,2,2,67,2,3,3,2,4,3,1,3,2,2,2,2,2,2,2,2,0.998607052
142610XXXX,2/26/2020 11:30,17031,60025,2,,,,,,,,,,,,,,,,,,,2,2,27,1,4,2,2,5,3,2,2,2,2,2,2,2,2,3,2,0.543538508
158610XXXX,2/26/2020 11:30,17031,60621,1,5,2,80,50,0,0,10,100,0,0,1,6,9,,,,,1,1,2,25,1,3,2,3,2,2,1,1,1,4,2,2,2,2,1,2,0.625603358
162410XXXX,2/26/2020 11:33,17031,60628,1,5,2,70,80,50,50,30,90,30,50,9,,,,,,,,1,2,47,1,2,3,4,4,1,2,3,2,3,3,2,2,2,3,2,1.13871128
168410XXXX,2/26/2020 11:33,17031,60654,1,1,,0,0,0,0,0,0,0,0,,,,,,,,,2,2,39,1,3,1,3,1,2,3,2,2,3,2,2,2,2,1,2,0.606840063
173710XXXX,2/26/2020 11:33,17031,60608,1,6,2,20,40,35,10,15,25,20,10,1,6,2,5,7,3,8,3,1,2,30,1,2,2,2,2,2,2,1,2,3,1,2,2,2,1,2,0.591456607
176810XXXX,2/26/2020 11:33,17031,60074,1,5,2,60,75,45,0,30,55,0,30,1,2,3,9,,,,2,1,2,24,1,3,2,4,2,3,3,1,2,2,2,2,2,2,2,2,0.625603358
182610XXXX,2/26/2020 11:34,17031,60090,1,5,2,75,50,50,25,25,75,25,90,8,1,3,6,5,4,2,2,1,2,47,1,3,3,3,2,3,2,3,2,2,2,1,2,1,2,2,0.606840063
182810XXXX,2/26/2020 11:33,17031,60660,1,6,2,75,20,40,0,55,75,0,75,5,8,1,6,3,2,4,2,1,2,60,2,3,3,4,2,2,1,1,2,2,2,2,2,2,1,2,0.847513457
203610XXXX,2/26/2020 11:32,17031,60007,1,4,,0,25,10,0,10,0,0,5,,,,,,,,,2,2,53,2,3,4,2,4,1,1,2,2,2,3,2,2,2,2,2,0.847513457
412100XXXX,2/25/2020 22:16,17031,60133,1,6,2,60,85,65,5,25,85,2,80,2,6,3,8,5,1,4,2,1,1,22,1,3,2,4,2,3,3,1,2,2,2,2,2,2,2,2,1.16527008
465100XXXX,2/25/2020 22:16,17031,60484,1,6,2,70,80,12,0,40,90,40,54,9,,,,,,,,1,1,43,1,2,2,3,2,3,1,3,2,2,1,2,2,2,2,2,1.015410714
642100XXXX,2/25/2020 22:17,17031,60004,1,3,,30,70,1,1,1,20,36,20,,,,,,,,,2,1,33,1,3,4,6,2,2,3,1,2,3,3,2,2,2,2,2,1.16527008
860100XXXX,2/25/2020 22:19,17031,60803,1,5,1,0,0,10,0,0,0,0,0,,,,,,,,,2,1,37,1,3,1,2,4,2,2,2,1,2,2,2,2,2,2,2,0.633420996
909100XXXX,2/25/2020 22:22,17031,60613,1,6,2,59,30,30,0,5,50,0,50,8,1,6,9,,,,4,1,1,58,2,2,2,3,2,3,2,1,2,3,2,2,2,1,1,2,1.087849899
118710XXXX,2/25/2020 22:24,17031,60133,1,6,2,20,10,0,5,10,25,5,20,6,8,9,,,,,3,1,1,57,2,3,2,2,1,2,1,1,2,2,2,2,2,2,2,2,0.824341641
119010XXXX,2/25/2020 22:24,17031,60194,1,6,1,0,0,0,0,0,0,15,0,,,,,,,,,2,1,77,2,3,1,1,1,3,2,2,2,3,2,2,1,2,2,2,0.83055425
120110XXXX,2/25/2020 22:26,17031,60660,1,6,2,10,10,10,0,10,50,0,10,6,8,1,3,5,2,7,2,1,1,69,2,3,2,5,2,3,1,1,2,1,2,2,2,1,1,2,0.83055425
