# Final piles of ballots, sorted by candidate.
# Created Wednesday, November 5, 2003 5:51 PM


# This file can be used for auditing, or for filling mid-term vacancies
# in Cambridge.  To fill a vacancy, edit the line below that says,
# "# CAMBRIDGE-VACANCY-RECOUNT candidate-code".  Remove the '#', so
# that ChoicePlusr will process the line, and replace "candidate-code"
# with the candidate code for whom the ballots are to be recounted.
# Be sure to rename the file when saving it!  E.g. to "<Your Election
# Title> Recount Input.txt".



# The following lines are the configuration lines necessary for a Cambridge
# style recount.
.COMPLY-WITH CAMBRIDGE
.ELECT 1


# The Candidates:
.CANDIDATE C01, "Yes"
.CANDIDATE C02, "No"

# The following lines exclude those candidates who
# were elected or excluded in the original election
# from participating in a future runoff.
.EXCLUDE-CANDIDATE C02

# ******* The following line must be edited for a Cambridge recount! *******
#.CAMBRIDGE-VACANCY-RECOUNT candidate-code

# Suppose that Joe Smith resigned mid-term, and Karen Jones was elected
# to fill that seat.  But then Karen Jones also resigned!  You can rerun
000603-00-2192, 1) C02
000603-00-2198, 1) C02
000603-00-2215, 1) C02
000603-00-2216, 1) C02
000603-00-2219, 1) C02
000603-00-2224, 1) C02
000603-00-2225, 1) C02
000603-00-2231, 1) C02
000603-00-2238, 1) C02
000603-00-2242, 1) C02
000603-00-2243, 1) C02
000603-00-2246, 1) C02
000603-00-2266, 1) C02
000603-00-2268, 1) C02
000603-00-2270, 1) C02
000603-00-2273, 1) C02
000603-00-2281, 1) C02
000603-00-2289, 1) C02
000603-00-2293, 1) C02
000603-00-2298, 1) C02
000603-00-2306, 1) C02
000603-00-2312, 1) C02
000603-00-2313, 1) C02
000603-00-2319, 1) C02
000603-00-2322, 1) C02
000603-00-2327, 1) C02
000603-00-2330, 1) C02
000603-00-2331, 1) C02
000603-00-2335, 1) C02
000603-00-2338, 1) C02
000101-00-0002, 1) C02
000101-00-0005, 1) C02
000101-00-0012, 1) C02
000101-00-0014, 1) C02
000101-00-0016, 1) C02
000101-00-0020, 1) C02
000101-00-0022, 1) C02
000101-00-0025, 1) C02
000101-00-0032, 1) C02
000101-00-0037, 1) C02
000101-00-0045, 1) C02
000101-00-0050, 1) C02
000101-00-0053, 1) C02
000101-00-0054, 1) C02
000101-00-0057, 1) C02
000101-00-0060, 1) C02
000101-00-0065, 1) C02
000101-00-0068, 1) C02
000101-00-0070, 1) C02
000101-00-0073, 1) C02
000101-00-0082, 1) C02
000101-00-0086, 1) C02
000101-00-0088, 1) C02
000101-00-0093, 1) C02
000101-00-0096, 1) C02
000101-00-0102, 1) C02
000101-00-0110, 1) C02
000101-00-0112, 1) C02
000101-00-0113, 1) C02
000101-00-0119, 1) C02
000101-00-0123, 1) C02
000101-00-0130, 1) C02
000101-00-0131, 1) C02
000101-00-0134, 1) C02
000101-00-0138, 1) C02
000101-00-0141, 1) C02
000101-00-0145, 1) C02
000101-00-0149, 1) C02
000101-00-0153, 1) C02
000101-00-0159, 1) C02
000101-00-0162, 1) C02
000101-00-0169, 1) C02
000101-00-0174, 1) C02
000101-00-0177, 1) C02
000101-00-0184, 1) C02
000101-00-0192, 1) C02
000101-00-0193, 1) C02
000101-00-0196, 1) C02
000101-00-0199, 1) C02
000101-00-0203, 1) C02
000101-00-0210, 1) C02
000101-00-0212, 1) C02
000101-00-0219, 1) C02
000101-00-0222, 1) C02
000101-00-0230, 1) C02
000101-00-0233, 1) C02
000101-00-0237, 1) C02
000101-00-0241, 1) C02
000101-00-0243, 1) C02
000101-00-0246, 1) C02
000101-00-0250, 1) C02
000101-00-0255, 1) C02
000101-00-0257, 1) C02
000101-00-0261, 1) C02
000101-00-0265, 1) C02
000101-00-0268, 1) C02
000101-00-0272, 1) C02
000101-00-0275, 1) C02
000101-00-0280, 1) C02
000101-00-0281, 1) C02
000101-00-0284, 1) C02
000101-00-0289, 1) C02
000101-00-0292, 1) C02
000101-00-0295, 1) C02
