break_on_overvote,break_on_repeated_skipvotes,candidate_map,contest,county,date,idparser,master_lookup,multi_winner_rounds,num_winners,office,parser,path,place,rcv_type,state,state_code,year
False,False,,Hawaii Dem Presidential Primary  2020 CD1 CD2,,5/23/2020,,,False,1,President of the United State CD1 CD2,<function unisyn at 0x000002546E040D38>,Ballot_Images/Hawaii/2020/dem_presidential_primary/CD1_CD2,Hawaii,<class 'scripts.rcv_variants.rcv_multiWinner_thresh15'>,HI,,2020
False,False,,Hawaii Dem Presidential Primary  2020 CD1,,5/23/2020,,,False,1,President of the United State CD1,<function unisyn at 0x000002546E040D38>,Ballot_Images/Hawaii/2020/dem_presidential_primary/CD1,Hawaii,<class 'scripts.rcv_variants.rcv_multiWinner_thresh15'>,HI,,2020
False,False,,Hawaii Dem Presidential Primary  2020 CD2,,5/23/2020,,,False,1,President of the United State CD2,<function unisyn at 0x000002546E040D38>,Ballot_Images/Hawaii/2020/dem_presidential_primary/CD2,Hawaii,<class 'scripts.rcv_variants.rcv_multiWinner_thresh15'>,HI,,2020
True,False,,Kansas Dem Primary 2020,,5/2/2020,,,False,1,PRESIDENT OF THE UNITED STATES,<function common_csv at 0x000002546B91BB88>,Ballot_Images/Kansas/2020/dem_presidential_primary,Kansas,<class 'scripts.rcv_variants.rcv_multiWinner_thresh15'>,KS,,2020
True,False,,Las Cruces Mayor 2019,,11/5/2019,,,False,1,COUNCILOR POSITION 2 CITY OF LAS CRUCES DISTRICT 2 COUNCILOR,<function dominion5_4 at 0x000002546E003D38>,Ballot_Images/LasCruces/2019,Las Cruces,<class 'scripts.rcv_variants.rcv_single_winner'>,NM,,2019
True,False,,Las Cruces Mayor 2019,,11/5/2019,,,False,1,COUNCILOR POSITION 4 CITY OF LAS CRUCES DISTRICT 4 COUNCILOR,<function dominion5_4 at 0x000002546E003D38>,Ballot_Images/LasCruces/2019,Las Cruces,<class 'scripts.rcv_variants.rcv_single_winner'>,NM,,2019
True,False,,Las Cruces Mayor 2019,,11/5/2019,,,False,1,MAYOR CITY OF LAS CRUCES,<function dominion5_4 at 0x000002546E003D38>,Ballot_Images/LasCruces/2019,Las Cruces,<class 'scripts.rcv_variants.rcv_single_winner'>,NM,,2019
True,True,,Maine Democratic Primary for CD2 2018,,6/12/2018,,,False,1,Democratic Primary for CD2,"functools.partial(<function maine at 0x000002546E040948>, 5)",Ballot_Images/Maine/2018/csvMaine/Maine_Democratic_Primary_for_CD2_CVR.xlsx.csv,Maine,<class 'scripts.rcv_variants.rcv_single_winner'>,ME,,2018
True,True,,Maine Democratic Primary for Governor 2018,,6/12/2018,,,False,1,Democratic Primary for Governor,"functools.partial(<function maine at 0x000002546E040948>, 8)",Ballot_Images/Maine/2018/csvMaine/Maine Democratic Primary for Governor CVR.xlsx.csv,Maine,<class 'scripts.rcv_variants.rcv_single_winner'>,ME,,2018
True,True,,Democratic Candidate Maine State House District 41 2020,,7/14/2020,,,False,1,Democratic Candidate for Maine State House District 41,<function common_csv at 0x000002546B91BB88>,Ballot_Images/Maine/2020/State_Rep_District41_Democratic_Primary/official_08032020,Maine,<class 'scripts.rcv_variants.rcv_single_winner'>,ME,,2020
True,True,,Democratic Candidate Maine State House District 47 2020,,7/14/2020,,,False,1,Democratic Candidate for Maine State House District 47,<function common_csv at 0x000002546B91BB88>,Ballot_Images/Maine/2020/State_Rep_District47_Democratic_Primary/official_08032020,Maine,<class 'scripts.rcv_variants.rcv_single_winner'>,ME,,2020
True,True,,Democratic Candidate Maine State House District 49 2020,,7/14/2020,,,False,1,Democratic Candidate for Maine State House District 49,<function common_csv at 0x000002546B91BB88>,Ballot_Images/Maine/2020/State_Rep_District49_Democratic_Primary/official_08032020,Maine,<class 'scripts.rcv_variants.rcv_single_winner'>,ME,,2020
True,True,,Democratic Candidate Maine State House District 90 2020,,7/14/2020,,,False,1,Democratic Candidate for Maine State House District 90,<function common_csv at 0x000002546B91BB88>,Ballot_Images/Maine/2020/State_Rep_District90_Democratic_Primary/official_08032020,Maine,<class 'scripts.rcv_variants.rcv_single_winner'>,ME,,2020
True,True,,Democratic Candidate Maine State Senate District 11 2020,,7/14/2020,,,False,1,Democratic Candidate for Maine State Senate District 11,<function common_csv at 0x000002546B91BB88>,Ballot_Images/Maine/2020/State_Senate_District11_Democratic_Primary/official_08032020,Maine,<class 'scripts.rcv_variants.rcv_single_winner'>,ME,,2020
True,True,,Republican Candidate Maine US House District 2,,7/14/2020,,,False,1,Republican Candidate for US House of Representatives District 2,<function common_csv at 0x000002546B91BB88>,Ballot_Images/Maine/2020/US_House_CD2_Republican_Primary/official_08032020,Maine,<class 'scripts.rcv_variants.rcv_single_winner'>,ME,,2020
True,True,,Maine General CD2 CVR Updated 2018,,11/6/2018,,,False,1,Congressional District 2,"functools.partial(<function maine at 0x000002546E040948>, 5)",Ballot_Images/Maine/2018/csvMaine/Maine General CD2 CVR Updated.xlsx.csv,Maine,<class 'scripts.rcv_variants.rcv_single_winner'>,ME,,2018
False,True,,Special Election for Council Member Ward 6,,8/11/2020,,,False,1,Ward 6 City Council Special Election,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2020/Special_Ward_6_Cast_Vote_Record_Clean.csv,Minneapolis,<class 'scripts.rcv_variants.rcv_single_winner'>,MN,,2020
False,False,,Minneapolis BOE 2013,,11/5/2013,,,True,2,Board of Estimate and Taxation,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013-board of estimation and taxation cvr.xlsx.csv,Minneapolis,<class 'scripts.rcv_variants.stv_fractional_ballot'>,MN,,2013
False,False,,Minneapolis Mayor 2013,,11/5/2013,,,False,1,Mayor,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013-mayor-cvr.xlsx.csv,Minneapolis,<class 'scripts.rcv_variants.rcv_single_winner'>,MN,,2013
False,False,,Minneapolis Park District 2 2013,,11/5/2013,,,False,1,P&R Board District 2,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013-park-district-2-cvr.xlsx.csv,Minneapolis,<class 'scripts.rcv_variants.rcv_single_winner'>,MN,,2013
False,False,,Minneapolis Park District 6 2013,,11/5/2013,,,False,1,P&R Board District 6,<function minneapolis at 0x000002546E0408B8>,Ballot_Images/Minneapolis/2013_only those contested/csv2013/Minneapolis 2013-park-district-6-cvr.xlsx.csv,Minneapolis,<class 'scripts.rcv_variants.rcv_single_winner'>,MN,,2013
