ranks,ballotID,rank1,rank2,rank3
"['LEE THOMAS', 'VICTOR AGUILAR, JR.', 'skipped']",6250,LEE THOMAS,"VICTOR AGUILAR, JR.",skipped
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'skipped']",6251,"VICTOR AGUILAR, JR.",LEE THOMAS,skipped
"['LEE THOMAS', 'VICTOR AGUILAR, JR.', 'skipped']",6252,LEE THOMAS,"VICTOR AGUILAR, JR.",skipped
"['LEE THOMAS', 'skipped', 'skipped']",6253,LEE THOMAS,skipped,skipped
"['LEE THOMAS', 'skipped', 'skipped']",6254,LEE THOMAS,skipped,skipped
"['LEE THOMAS', 'VICTOR AGUILAR, JR.', 'skipped']",6255,LEE THOMAS,"VICTOR AGUILAR, JR.",skipped
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'VICTOR AGUILAR, JR.']",6256,"VICTOR AGUILAR, JR.",LEE THOMAS,"VICTOR AGUILAR, JR."
"['VICTOR AGUILAR, JR.', 'skipped', 'skipped']",6257,"VICTOR AGUILAR, JR.",skipped,skipped
"['LEE THOMAS', 'VICTOR AGUILAR, JR.', 'skipped']",6258,LEE THOMAS,"VICTOR AGUILAR, JR.",skipped
"['VICTOR AGUILAR, JR.', 'LEE THOMAS', 'skipped']",6259,"VICTOR AGUILAR, JR.",LEE THOMAS,skipped
"['skipped', 'skipped', 'skipped']",6260,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6261,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6262,skipped,skipped,skipped
"['LEE THOMAS', 'LEE THOMAS', 'LEE THOMAS']",6263,LEE THOMAS,LEE THOMAS,LEE THOMAS
"['LEE THOMAS', 'skipped', 'skipped']",6264,LEE THOMAS,skipped,skipped
"['VICTOR AGUILAR, JR.', 'skipped', 'skipped']",6265,"VICTOR AGUILAR, JR.",skipped,skipped
"['LEE THOMAS', 'LEE THOMAS', 'LEE THOMAS']",6266,LEE THOMAS,LEE THOMAS,LEE THOMAS
"['LEE THOMAS', 'skipped', 'skipped']",6267,LEE THOMAS,skipped,skipped
