ranks,ballotID,rank1,rank2,rank3
"['BENJAMIN LANG', 'RICHARD FUENTES', 'JUMOKE HINTON HODGE']",6565,BENJAMIN LANG,RICHARD FUENTES,JUMOKE HINTON HODGE
"['BENJAMIN LANG', 'RICHARD FUENTES', 'JUMOKE HINTON HODGE']",6566,BENJAMIN LANG,RICHARD FUENTES,JUMOKE HINTON HODGE
"['BENJAMIN LANG', 'RICHARD FUENTES', 'skipped']",6567,BENJAMIN LANG,RICHARD FUENTES,skipped
"['skipped', 'skipped', 'skipped']",6568,skipped,skipped,skipped
"['RICHARD FUENTES', 'JUMOKE HINTON HODGE', 'BENJAMIN LANG']",6569,RICHARD FUENTES,JUMOKE HINTON HODGE,BENJAMIN LANG
"['skipped', 'skipped', 'skipped']",6570,skipped,skipped,skipped
"['RICHARD FUENTES', 'JUMOKE HINTON HODGE', 'BENJAMIN LANG']",6571,RICHARD FUENTES,JUMOKE HINTON HODGE,BENJAMIN LANG
"['RICHARD FUENTES', 'skipped', 'skipped']",6572,RICHARD FUENTES,skipped,skipped
"['RICHARD FUENTES', 'BENJAMIN LANG', 'JUMOKE HINTON HODGE']",6573,RICHARD FUENTES,BENJAMIN LANG,JUMOKE HINTON HODGE
"['skipped', 'skipped', 'skipped']",6574,skipped,skipped,skipped
"['RICHARD FUENTES', 'skipped', 'skipped']",6575,RICHARD FUENTES,skipped,skipped
"['skipped', 'skipped', 'skipped']",6576,skipped,skipped,skipped
"['RICHARD FUENTES', 'skipped', 'skipped']",6577,RICHARD FUENTES,skipped,skipped
"['BENJAMIN LANG', 'RICHARD FUENTES', 'JUMOKE HINTON HODGE']",6578,BENJAMIN LANG,RICHARD FUENTES,JUMOKE HINTON HODGE
"['RICHARD FUENTES', 'JUMOKE HINTON HODGE', 'BENJAMIN LANG']",6579,RICHARD FUENTES,JUMOKE HINTON HODGE,BENJAMIN LANG
"['JUMOKE HINTON HODGE', 'RICHARD FUENTES', 'BENJAMIN LANG']",6580,JUMOKE HINTON HODGE,RICHARD FUENTES,BENJAMIN LANG
"['BENJAMIN LANG', 'JUMOKE HINTON HODGE', 'RICHARD FUENTES']",6581,BENJAMIN LANG,JUMOKE HINTON HODGE,RICHARD FUENTES
"['JUMOKE HINTON HODGE', 'RICHARD FUENTES', 'BENJAMIN LANG']",6582,JUMOKE HINTON HODGE,RICHARD FUENTES,BENJAMIN LANG
"['JUMOKE HINTON HODGE', 'BENJAMIN LANG', 'RICHARD FUENTES']",6583,JUMOKE HINTON HODGE,BENJAMIN LANG,RICHARD FUENTES
"['skipped', 'skipped', 'skipped']",6584,skipped,skipped,skipped
"['BENJAMIN LANG', 'BENJAMIN LANG', 'BENJAMIN LANG']",6585,BENJAMIN LANG,BENJAMIN LANG,BENJAMIN LANG
"['skipped', 'skipped', 'skipped']",6586,skipped,skipped,skipped
