ranks,ballotID,rank1,rank2,rank3,rank4
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",3038,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley', 'Mary Hall-Rayford']",3039,Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
"['Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards']",3040,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
"['Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley', 'skipped']",3041,Mary Hall-Rayford,Larry Edwards,Harvey Curley,skipped
"['Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley']",3042,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
"['overvote', 'overvote', 'skipped', 'skipped']",3043,overvote,overvote,skipped,skipped
"['Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido', 'Mary Hall-Rayford']",3044,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",3045,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3046,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Larry Edwards', 'skipped', 'skipped']",3047,Sarah A. Lucido,Larry Edwards,skipped,skipped
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",3048,Sarah A. Lucido,skipped,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford', 'Larry Edwards']",3049,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
"['Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley']",3050,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3051,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3052,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",3053,Harvey Curley,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",3054,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",3055,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",3056,Sarah A. Lucido,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped', 'skipped']",3057,skipped,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",3058,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'skipped']",3059,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",3060,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",3061,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3062,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'writein', 'writein']",3063,Harvey Curley,Sarah A. Lucido,writein,writein
"['Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley', 'Harvey Curley']",3064,Larry Edwards,Mary Hall-Rayford,Harvey Curley,Harvey Curley
"['Mary Hall-Rayford', 'skipped', 'skipped', 'skipped']",3065,Mary Hall-Rayford,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",3066,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3067,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3068,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Mary Hall-Rayford', 'Larry Edwards', 'skipped', 'skipped']",3069,Mary Hall-Rayford,Larry Edwards,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",3070,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",3071,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",3072,Sarah A. Lucido,skipped,skipped,skipped
"['Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley']",3073,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
"['Sarah A. Lucido', 'writein', 'writein', 'writein']",3074,Sarah A. Lucido,writein,writein,writein
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3075,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",3076,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",3077,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",3078,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['skipped', 'skipped', 'skipped', 'skipped']",3079,skipped,skipped,skipped,skipped
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",3080,Sarah A. Lucido,skipped,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3081,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",3082,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",3083,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",3084,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",3085,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",3086,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'skipped']",3087,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,skipped
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",3088,Sarah A. Lucido,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped', 'skipped']",3089,skipped,skipped,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford', 'Larry Edwards']",3090,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
"['Mary Hall-Rayford', 'Larry Edwards', 'Sarah A. Lucido', 'skipped']",3091,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",3092,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Larry Edwards', 'Sarah A. Lucido', 'skipped', 'skipped']",3093,Larry Edwards,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3094,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",3095,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['Mary Hall-Rayford', 'Harvey Curley', 'skipped', 'skipped']",3096,Mary Hall-Rayford,Harvey Curley,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3097,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",3098,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",3099,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",3100,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",3101,Harvey Curley,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",3102,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",3103,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Larry Edwards', 'skipped', 'skipped']",3104,Sarah A. Lucido,Larry Edwards,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford', 'Larry Edwards']",3105,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",3106,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3107,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",3108,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley', 'Mary Hall-Rayford']",3109,Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",3110,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3111,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards']",3112,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",3113,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3114,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",3115,Harvey Curley,skipped,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",3116,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'skipped']",3117,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",3118,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['Larry Edwards', 'overvote', 'overvote', 'overvote']",3119,Larry Edwards,overvote,overvote,overvote
"['Harvey Curley', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",3120,Harvey Curley,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido']",3121,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3122,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Larry Edwards', 'Harvey Curley', 'writein', 'Sarah A. Lucido']",3123,Larry Edwards,Harvey Curley,writein,Sarah A. Lucido
"['Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido']",3124,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'skipped']",3125,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'skipped']",3126,Sarah A. Lucido,Harvey Curley,Larry Edwards,skipped
"['Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido']",3127,Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3128,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",3129,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",3130,Harvey Curley,skipped,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",3131,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Mary Hall-Rayford', 'Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley']",3132,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",3133,Harvey Curley,skipped,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",3134,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford', 'Larry Edwards']",3135,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",3136,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido']",3137,Larry Edwards,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido
"['Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley']",3138,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",3139,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3140,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",3141,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Mary Hall-Rayford', 'writein', 'writein', 'Harvey Curley']",3142,Mary Hall-Rayford,writein,writein,Harvey Curley
"['Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped']",3143,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",3144,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Sarah A. Lucido', 'Sarah A. Lucido', 'Sarah A. Lucido']",3145,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'skipped']",3146,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",3147,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",3148,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",3149,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['Sarah A. Lucido', 'Larry Edwards', 'skipped', 'skipped']",3150,Sarah A. Lucido,Larry Edwards,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",3151,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['Larry Edwards', 'skipped', 'skipped', 'skipped']",3152,Larry Edwards,skipped,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3153,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3154,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",3155,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3156,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",3157,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",3158,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",3159,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['Sarah A. Lucido', 'Larry Edwards', 'skipped', 'skipped']",3160,Sarah A. Lucido,Larry Edwards,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",3161,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",3162,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3163,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",3164,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",3165,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3166,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford']",3167,Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3168,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",3169,Harvey Curley,skipped,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",3170,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",3171,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Mary Hall-Rayford']",3172,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Mary Hall-Rayford
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",3173,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'skipped']",3174,Sarah A. Lucido,Harvey Curley,Larry Edwards,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3175,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",3176,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",3177,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3178,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Harvey Curley', 'Harvey Curley', 'Larry Edwards', 'Larry Edwards']",3179,Harvey Curley,Harvey Curley,Larry Edwards,Larry Edwards
"['Mary Hall-Rayford', 'Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley']",3180,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3181,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3182,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",3183,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",3184,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido', 'Mary Hall-Rayford']",3185,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
"['Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido', 'Mary Hall-Rayford']",3186,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",3187,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Sarah A. Lucido', 'Larry Edwards', 'skipped', 'skipped']",3188,Sarah A. Lucido,Larry Edwards,skipped,skipped
"['Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley']",3189,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",3190,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Sarah A. Lucido', 'Sarah A. Lucido', 'Sarah A. Lucido']",3191,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3192,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",3193,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'skipped']",3194,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",3195,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",3196,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",3197,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped']",3198,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,skipped
"['Mary Hall-Rayford', 'Harvey Curley', 'skipped', 'skipped']",3199,Mary Hall-Rayford,Harvey Curley,skipped,skipped
"['Sarah A. Lucido', 'Larry Edwards', 'skipped', 'skipped']",3200,Sarah A. Lucido,Larry Edwards,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford', 'Larry Edwards']",3201,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",3202,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",3203,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",3204,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford', 'Larry Edwards']",3205,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",3206,Sarah A. Lucido,skipped,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3207,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",3208,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Harvey Curley', 'Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards']",3209,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
"['Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley', 'Sarah A. Lucido']",3210,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",3211,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford', 'Larry Edwards']",3212,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
"['Harvey Curley', 'Harvey Curley', 'Harvey Curley', 'Harvey Curley']",3213,Harvey Curley,Harvey Curley,Harvey Curley,Harvey Curley
"['Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley']",3214,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",3215,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
