ranks,ballotID,rank1,rank2,rank3,rank4
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3841,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Mary Hall-Rayford', 'Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley']",3842,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
"['Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley', 'Mary Hall-Rayford']",3843,Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Larry Edwards', 'Harvey Curley']",3844,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
"['Larry Edwards', 'Harvey Curley', 'Sarah A. Lucido', 'skipped']",3845,Larry Edwards,Harvey Curley,Sarah A. Lucido,skipped
"['Larry Edwards', 'skipped', 'skipped', 'skipped']",3846,Larry Edwards,skipped,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'writein', 'writein']",3847,Sarah A. Lucido,Harvey Curley,writein,writein
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3848,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'writein', 'writein']",3849,Sarah A. Lucido,Harvey Curley,writein,writein
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",3850,Harvey Curley,skipped,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards']",3851,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",3852,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",3853,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",3854,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",3855,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards']",3856,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",3857,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",3858,Sarah A. Lucido,skipped,skipped,skipped
"['Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley']",3859,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
"['Harvey Curley', 'Mary Hall-Rayford', 'skipped', 'skipped']",3860,Harvey Curley,Mary Hall-Rayford,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",3861,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido']",3862,Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards', 'Harvey Curley']",3863,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3864,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",3865,Harvey Curley,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Harvey Curley', 'Larry Edwards', 'Sarah A. Lucido']",3866,Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",3867,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'skipped', 'skipped']",3868,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford']",3869,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
