ranks,ballotID,rank1,rank2,rank3,rank4,rank5
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",277,C04,C03,skipped,skipped,skipped
"['C03', 'C04', 'C02', 'C05', 'C01']",278,C03,C04,C02,C05,C01
"['C03', 'C04', 'C01', 'C05', 'C02']",279,C03,C04,C01,C05,C02
"['C03', 'C02', 'skipped', 'skipped', 'skipped']",280,C03,C02,skipped,skipped,skipped
"['C04', 'C02', 'C03', 'skipped', 'skipped']",281,C04,C02,C03,skipped,skipped
"['C04', 'C02', 'skipped', 'skipped', 'skipped']",282,C04,C02,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",283,C03,C04,skipped,skipped,skipped
"['C03', 'C04', 'C01', 'skipped', 'skipped']",284,C03,C04,C01,skipped,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",285,C04,C03,skipped,skipped,skipped
"['C03', 'skipped', 'skipped', 'skipped', 'skipped']",286,C03,skipped,skipped,skipped,skipped
"['C03', 'C02', 'C04', 'skipped', 'skipped']",287,C03,C02,C04,skipped,skipped
"['C03', 'C04', 'C05', 'C02', 'C01']",288,C03,C04,C05,C02,C01
"['C01', 'C02', 'C05', 'skipped', 'skipped']",289,C01,C02,C05,skipped,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",290,C04,C03,skipped,skipped,skipped
"['C03', 'C04', 'C02', 'C05', 'C01']",291,C03,C04,C02,C05,C01
"['C05', 'C02', 'skipped', 'skipped', 'skipped']",292,C05,C02,skipped,skipped,skipped
