ranks,ballotID,rank1,rank2,rank3
"['Raeisha (RA) Williams', 'Jeremiah Ellison', 'Blong Yang']",352,Raeisha (RA) Williams,Jeremiah Ellison,Blong Yang
"['Blong Yang', 'Jeremiah Ellison', 'skipped']",353,Blong Yang,Jeremiah Ellison,skipped
"['Blong Yang', 'skipped', 'skipped']",354,Blong Yang,skipped,skipped
"['Blong Yang', 'skipped', 'skipped']",355,Blong Yang,skipped,skipped
"['Blong Yang', 'skipped', 'skipped']",356,Blong Yang,skipped,skipped
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Blong Yang']",357,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
"['Blong Yang', 'Jeremiah Ellison', 'Cathy Spann']",358,Blong Yang,Jeremiah Ellison,Cathy Spann
"['Blong Yang', 'Blong Yang', 'Blong Yang']",359,Blong Yang,Blong Yang,Blong Yang
"['Blong Yang', 'Cathy Spann', 'skipped']",360,Blong Yang,Cathy Spann,skipped
"['Blong Yang', 'Jeremiah Ellison', 'Raeisha (RA) Williams']",361,Blong Yang,Jeremiah Ellison,Raeisha (RA) Williams
"['Blong Yang', 'skipped', 'skipped']",362,Blong Yang,skipped,skipped
"['Blong Yang', 'Jeremiah Ellison', 'Raeisha (RA) Williams']",363,Blong Yang,Jeremiah Ellison,Raeisha (RA) Williams
"['Blong Yang', 'Raeisha (RA) Williams', 'Jeremiah Ellison']",364,Blong Yang,Raeisha (RA) Williams,Jeremiah Ellison
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Blong Yang']",365,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
"['Jeremiah Ellison', 'Blong Yang', 'Cathy Spann']",366,Jeremiah Ellison,Blong Yang,Cathy Spann
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Cathy Spann']",367,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann
"['Jeremiah Ellison', 'skipped', 'skipped']",368,Jeremiah Ellison,skipped,skipped
"['Raeisha (RA) Williams', 'Jeremiah Ellison', 'Cathy Spann']",369,Raeisha (RA) Williams,Jeremiah Ellison,Cathy Spann
"['Raeisha (RA) Williams', 'skipped', 'skipped']",370,Raeisha (RA) Williams,skipped,skipped
"['Raeisha (RA) Williams', 'Blong Yang', 'Jeremiah Ellison']",371,Raeisha (RA) Williams,Blong Yang,Jeremiah Ellison
"['Blong Yang', 'Jeremiah Ellison', 'skipped']",372,Blong Yang,Jeremiah Ellison,skipped
"['Blong Yang', 'skipped', 'skipped']",373,Blong Yang,skipped,skipped
"['Jeremiah Ellison', 'Blong Yang', 'Cathy Spann']",374,Jeremiah Ellison,Blong Yang,Cathy Spann
"['Blong Yang', 'Jeremiah Ellison', 'Raeisha (RA) Williams']",375,Blong Yang,Jeremiah Ellison,Raeisha (RA) Williams
"['Raeisha (RA) Williams', 'Cathy Spann', 'Jeremiah Ellison']",376,Raeisha (RA) Williams,Cathy Spann,Jeremiah Ellison
"['Jeremiah Ellison', 'Blong Yang', 'skipped']",377,Jeremiah Ellison,Blong Yang,skipped
"['Jeremiah Ellison', 'Cathy Spann', 'Raeisha (RA) Williams']",378,Jeremiah Ellison,Cathy Spann,Raeisha (RA) Williams
"['Jeremiah Ellison', 'Blong Yang', 'skipped']",379,Jeremiah Ellison,Blong Yang,skipped
"['Jeremiah Ellison', 'skipped', 'skipped']",380,Jeremiah Ellison,skipped,skipped
"['Jeremiah Ellison', 'Cathy Spann', 'Raeisha (RA) Williams']",381,Jeremiah Ellison,Cathy Spann,Raeisha (RA) Williams
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Cathy Spann']",382,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'skipped']",383,Jeremiah Ellison,Raeisha (RA) Williams,skipped
"['Blong Yang', 'Cathy Spann', 'Raeisha (RA) Williams']",384,Blong Yang,Cathy Spann,Raeisha (RA) Williams
"['Jeremiah Ellison', 'Cathy Spann', 'Raeisha (RA) Williams']",385,Jeremiah Ellison,Cathy Spann,Raeisha (RA) Williams
"['Blong Yang', 'Blong Yang', 'Blong Yang']",386,Blong Yang,Blong Yang,Blong Yang
"['Jeremiah Ellison', 'Jeremiah Ellison', 'Jeremiah Ellison']",387,Jeremiah Ellison,Jeremiah Ellison,Jeremiah Ellison
"['Jeremiah Ellison', 'Blong Yang', 'Cathy Spann']",388,Jeremiah Ellison,Blong Yang,Cathy Spann
"['Raeisha (RA) Williams', 'Blong Yang', 'Jeremiah Ellison']",389,Raeisha (RA) Williams,Blong Yang,Jeremiah Ellison
"['Raeisha (RA) Williams', 'Cathy Spann', 'Blong Yang']",390,Raeisha (RA) Williams,Cathy Spann,Blong Yang
"['Blong Yang', 'skipped', 'skipped']",391,Blong Yang,skipped,skipped
"['Jeremiah Ellison', 'Cathy Spann', 'Raeisha (RA) Williams']",392,Jeremiah Ellison,Cathy Spann,Raeisha (RA) Williams
"['Blong Yang', 'skipped', 'skipped']",393,Blong Yang,skipped,skipped
"['Blong Yang', 'Jeremiah Ellison', 'Raeisha (RA) Williams']",394,Blong Yang,Jeremiah Ellison,Raeisha (RA) Williams
"['Jeremiah Ellison', 'Blong Yang', 'Raeisha (RA) Williams']",395,Jeremiah Ellison,Blong Yang,Raeisha (RA) Williams
"['Blong Yang', 'skipped', 'skipped']",396,Blong Yang,skipped,skipped
"['Blong Yang', 'skipped', 'skipped']",397,Blong Yang,skipped,skipped
"['Blong Yang', 'Cathy Spann', 'skipped']",398,Blong Yang,Cathy Spann,skipped
"['Blong Yang', 'skipped', 'skipped']",399,Blong Yang,skipped,skipped
