ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16
89,"Murphy, Brian","Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
90,"Kelley, Craig A.","Seidel, Sam","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
91,"Kelley, Craig A.","Seidel, Sam","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
92,"Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,"Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped
93,"Ward, Larry W.","Murphy, Brian","Moree, Gregg J.","Kelley, Craig A.","Reeves, Kenneth E.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
94,"Kelley, Craig A.","Simmons, E. Denise","Seidel, Sam","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
95,"Kelley, Craig A.","Murphy, Brian","Seidel, Sam","Maher, David P.","Sullivan, Edward J.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
96,"Kelley, Craig A.","Decker, Marjorie C.","Davis, Henrietta","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Toomey, Timothy J., Jr.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
97,"Kelley, Craig A.","Murphy, Brian","Davis, Henrietta","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
98,"Decker, Marjorie C.","Simmons, E. Denise","Toomey, Timothy J., Jr.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
99,"Murphy, Brian","Decker, Marjorie C.","Seidel, Sam","Ward, Larry W.","Janik, Jonathan S.","Simmons, E. Denise","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
100,"Davis, Henrietta","Decker, Marjorie C.","Moree, Gregg J.","Murphy, Brian","Janik, Jonathan S.","Kelley, Craig A.","Ward, Larry W.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
101,"Seidel, Sam","Ward, Larry W.","Moore, M. Kevin","Janik, Jonathan S.","Decker, Marjorie C.","Davis, Henrietta","Murphy, Brian","Kelley, Craig A.","Simmons, E. Denise","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped
102,"Davis, Henrietta","Decker, Marjorie C.","Seidel, Sam","Kelley, Craig A.","Maher, David P.","Simmons, E. Denise","Murphy, Brian","Moore, M. Kevin","Ward, Larry W.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped
103,"Maher, David P.","Kelley, Craig A.","Reeves, Kenneth E.","Janik, Jonathan S.","Seidel, Sam","Simmons, E. Denise","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
104,"Maher, David P.","Simmons, E. Denise","Toomey, Timothy J., Jr.","Moree, Gregg J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
105,"Davis, Henrietta","Decker, Marjorie C.","Simmons, E. Denise","Reeves, Kenneth E.","Murphy, Brian","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
106,"Galluccio, Anthony D.","Kelley, Craig A.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
107,"Kelley, Craig A.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
108,"Murphy, Brian","Seidel, Sam","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
