ranks,ballotID,rank1,rank2,rank3
"['JOEL ENGARDIO', 'BEN MATRANGA', 'NORMAN YEE']",34737,JOEL ENGARDIO,BEN MATRANGA,NORMAN YEE
"['NORMAN YEE', 'skipped', 'skipped']",34738,NORMAN YEE,skipped,skipped
"['NORMAN YEE', 'BEN MATRANGA', 'JOHN FARRELL']",34739,NORMAN YEE,BEN MATRANGA,JOHN FARRELL
"['BEN MATRANGA', 'MIKE YOUNG', 'NORMAN YEE']",34740,BEN MATRANGA,MIKE YOUNG,NORMAN YEE
"['NORMAN YEE', 'JOHN FARRELL', 'MIKE YOUNG']",34741,NORMAN YEE,JOHN FARRELL,MIKE YOUNG
"['NORMAN YEE', 'skipped', 'skipped']",34742,NORMAN YEE,skipped,skipped
"['BEN MATRANGA', 'JOEL ENGARDIO', 'NORMAN YEE']",34743,BEN MATRANGA,JOEL ENGARDIO,NORMAN YEE
"['NORMAN YEE', 'BEN MATRANGA', 'JOEL ENGARDIO']",34744,NORMAN YEE,BEN MATRANGA,JOEL ENGARDIO
"['NORMAN YEE', 'MIKE YOUNG', 'JOHN FARRELL']",34745,NORMAN YEE,MIKE YOUNG,JOHN FARRELL
"['NORMAN YEE', 'MIKE YOUNG', 'BEN MATRANGA']",34746,NORMAN YEE,MIKE YOUNG,BEN MATRANGA
"['NORMAN YEE', 'skipped', 'skipped']",34747,NORMAN YEE,skipped,skipped
"['NORMAN YEE', 'BEN MATRANGA', 'JOHN FARRELL']",34748,NORMAN YEE,BEN MATRANGA,JOHN FARRELL
"['NORMAN YEE', 'BEN MATRANGA', 'JOHN FARRELL']",34749,NORMAN YEE,BEN MATRANGA,JOHN FARRELL
"['NORMAN YEE', 'NORMAN YEE', 'NORMAN YEE']",34750,NORMAN YEE,NORMAN YEE,NORMAN YEE
"['JOHN FARRELL', 'JOHN FARRELL', 'JOHN FARRELL']",34751,JOHN FARRELL,JOHN FARRELL,JOHN FARRELL
"['NORMAN YEE', 'skipped', 'skipped']",34752,NORMAN YEE,skipped,skipped
"['NORMAN YEE', 'skipped', 'skipped']",34753,NORMAN YEE,skipped,skipped
"['BEN MATRANGA', 'JOEL ENGARDIO', 'NORMAN YEE']",34754,BEN MATRANGA,JOEL ENGARDIO,NORMAN YEE
"['NORMAN YEE', 'skipped', 'skipped']",34755,NORMAN YEE,skipped,skipped
"['JOEL ENGARDIO', 'skipped', 'skipped']",34756,JOEL ENGARDIO,skipped,skipped
"['NORMAN YEE', 'JOEL ENGARDIO', 'JOHN FARRELL']",34757,NORMAN YEE,JOEL ENGARDIO,JOHN FARRELL
"['NORMAN YEE', 'skipped', 'skipped']",34758,NORMAN YEE,skipped,skipped
"['BEN MATRANGA', 'NORMAN YEE', 'skipped']",34759,BEN MATRANGA,NORMAN YEE,skipped
"['NORMAN YEE', 'NORMAN YEE', 'NORMAN YEE']",34760,NORMAN YEE,NORMAN YEE,NORMAN YEE
"['NORMAN YEE', 'MIKE YOUNG', 'skipped']",34761,NORMAN YEE,MIKE YOUNG,skipped
"['JOEL ENGARDIO', 'skipped', 'skipped']",34762,JOEL ENGARDIO,skipped,skipped
"['NORMAN YEE', 'JOEL ENGARDIO', 'skipped']",34763,NORMAN YEE,JOEL ENGARDIO,skipped
"['NORMAN YEE', 'skipped', 'skipped']",34764,NORMAN YEE,skipped,skipped
"['NORMAN YEE', 'NORMAN YEE', 'BEN MATRANGA']",34765,NORMAN YEE,NORMAN YEE,BEN MATRANGA
"['JOEL ENGARDIO', 'JOHN FARRELL', 'NORMAN YEE']",34766,JOEL ENGARDIO,JOHN FARRELL,NORMAN YEE
"['BEN MATRANGA', 'JOEL ENGARDIO', 'MIKE YOUNG']",34767,BEN MATRANGA,JOEL ENGARDIO,MIKE YOUNG
"['NORMAN YEE', 'MIKE YOUNG', 'JOEL ENGARDIO']",34768,NORMAN YEE,MIKE YOUNG,JOEL ENGARDIO
