ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11
111,"Nolan, Patricia M.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
112,"Dexter, Emily R.","Kelly, Kathleen M.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
113,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
114,"Dexter, Emily R.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
115,"Cronin, Fran Albin","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Harding, Jr., Richard","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.","Bowman, Manikka L.","Cisternino, Pia"
116,"Cisternino, Pia","Cronin, Fran Albin","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Harding, Jr., Richard","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.","Bowman, Manikka L."
117,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
118,"Harding, Jr., Richard","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
119,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
120,"Nolan, Patricia M.","Cronin, Fran Albin","Cisternino, Pia","Dexter, Emily R.","Weinstein, David J.","Fantini, Alfred B.","Harding, Jr., Richard","Kelly, Kathleen M.","Crutchfield, Jake W.","Kadete, Elechi M.","Bowman, Manikka L."
121,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
122,"Kelly, Kathleen M.","Dexter, Emily R.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
