ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19
1201,"Murphy, Brian","Simmons, Denise","Horowitz, Jacob","King, Ethridge A.","Pitkin, John","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1202,"Galluccio, Anthony D.","King, Ethridge A.","Decker, Marjorie C.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1203,"Sullivan, Michael A.","Maher, David P.","Toomey, Timothy J., Jr.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1204,"Murphy, Brian","Pitkin, John","Davis, Henrietta","Decker, Marjorie C.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1205,"Galluccio, Anthony D.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1206,"Murphy, Brian","Maher, David P.","Simmons, Denise","Galluccio, Anthony D.","Decker, Marjorie C.","Sullivan, Michael A.","Hall, Robert L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1207,"Pitkin, John","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1208,"Galluccio, Anthony D.","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Jens, Steven E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1209,"Maher, David P.","Galluccio, Anthony D.","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Murphy, Brian","Hall, Robert L.","Condit, James E., III","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1210,"Pitkin, John","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1211,skipped,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1212,"Simmons, Denise","Davis, Henrietta","King, Ethridge A.","Murphy, Brian","Horowitz, Jacob","Pitkin, John",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1213,"Maher, David P.","Galluccio, Anthony D.","Sullivan, Michael A.","Murphy, Brian","Toomey, Timothy J., Jr.","Hall, Robert L.",skipped,"Williamson, James M.","Horowitz, Jacob",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1214,"Galluccio, Anthony D.","Maher, David P.","Reeves, Kenneth E.","Sullivan, Michael A.","Hall, Robert L.","Davis, Henrietta","Condit, James E., III","Simmons, Denise","Murphy, Brian","Decker, Marjorie C.","Dixon, Vincent Lawrence","Horowitz, Jacob","Iskovitz, Steve","Jens, Steven E.","King, Ethridge A.","Williamson, James M.","Toomey, Timothy J., Jr.","Pitkin, John","Peixoto, Helder"
1215,"Sullivan, Michael A.","Maher, David P.","Toomey, Timothy J., Jr.","Galluccio, Anthony D.","Davis, Henrietta","Condit, James E., III","Murphy, Brian","Hall, Robert L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1216,"Simmons, Denise","Galluccio, Anthony D.","King, Ethridge A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1217,"Galluccio, Anthony D.",skipped,skipped,"Sullivan, Michael A.","Toomey, Timothy J., Jr.","Horowitz, Jacob",skipped,skipped,skipped,"Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1218,"Sullivan, Michael A.","Galluccio, Anthony D.","Maher, David P.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1219,"Sullivan, Michael A.","Davis, Henrietta","Galluccio, Anthony D.","Maher, David P.","Reeves, Kenneth E.","Murphy, Brian","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1220,"King, Ethridge A.","Maher, David P.","Simmons, Denise","Galluccio, Anthony D.","Decker, Marjorie C.","Hall, Robert L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1221,"Simmons, Denise","Decker, Marjorie C.","Murphy, Brian","Reeves, Kenneth E.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1222,"Sullivan, Michael A.","Toomey, Timothy J., Jr.","Galluccio, Anthony D.","Maher, David P.","Reeves, Kenneth E.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1223,"Maher, David P.","Galluccio, Anthony D.","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Murphy, Brian","Reeves, Kenneth E.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1224,"Pitkin, John","Murphy, Brian","Davis, Henrietta","Simmons, Denise","Horowitz, Jacob","Sullivan, Michael A.",skipped,"Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1225,"Galluccio, Anthony D.","Davis, Henrietta","Decker, Marjorie C.","Murphy, Brian","Pitkin, John","Sullivan, Michael A.","Simmons, Denise","Maher, David P.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1226,"Sullivan, Michael A.","Maher, David P.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1227,"Decker, Marjorie C.","Simmons, Denise","Murphy, Brian","Galluccio, Anthony D.","King, Ethridge A.","Pitkin, John","Maher, David P.","Toomey, Timothy J., Jr.","Davis, Henrietta","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1228,"Reeves, Kenneth E.","Simmons, Denise","Decker, Marjorie C.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1229,"Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1230,"Galluccio, Anthony D.","Pitkin, John","Maher, David P.","Murphy, Brian","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1231,"Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1232,"Galluccio, Anthony D.","Murphy, Brian","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1233,"Murphy, Brian","Galluccio, Anthony D.","Toomey, Timothy J., Jr.","Pitkin, John","Maher, David P.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1234,"Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1235,"Galluccio, Anthony D.","Maher, David P.","Simmons, Denise","Sullivan, Michael A.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1236,"Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Murphy, Brian","Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1237,"Pitkin, John","Decker, Marjorie C.","Simmons, Denise","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1238,"Galluccio, Anthony D.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1239,"Jens, Steven E.","Maher, David P.","Simmons, Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1240,"Maher, David P.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.","Sullivan, Michael A.","Decker, Marjorie C.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1241,"Sullivan, Michael A.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1242,"Davis, Henrietta","Sullivan, Michael A.","Galluccio, Anthony D.","King, Ethridge A.","Murphy, Brian","Condit, James E., III","Toomey, Timothy J., Jr.","Peixoto, Helder","Simmons, Denise","Hall, Robert L.","Horowitz, Jacob","Jens, Steven E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
1243,"Davis, Henrietta","Murphy, Brian","Simmons, Denise","King, Ethridge A.","Galluccio, Anthony D.","Reeves, Kenneth E.","Pitkin, John","Decker, Marjorie C.","Iskovitz, Steve","Horowitz, Jacob","Peixoto, Helder","Condit, James E., III","Jens, Steven E.","Maher, David P.","Sullivan, Michael A.","Hall, Robert L.",skipped,skipped,skipped
1244,"Galluccio, Anthony D.","Sullivan, Michael A.","Maher, David P.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1245,"Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1246,"Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.","Decker, Marjorie C.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,"Reeves, Kenneth E."
1247,"Reeves, Kenneth E.","Toomey, Timothy J., Jr.","Davis, Henrietta","Galluccio, Anthony D.","King, Ethridge A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1248,"Reeves, Kenneth E.","Toomey, Timothy J., Jr.","Davis, Henrietta","Galluccio, Anthony D.","King, Ethridge A.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1249,"Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1250,"Condit, James E., III","Decker, Marjorie C.","King, Ethridge A.","Peixoto, Helder","Murphy, Brian","Horowitz, Jacob","Simmons, Denise","Iskovitz, Steve","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1251,"Iskovitz, Steve","Davis, Henrietta","Galluccio, Anthony D.","Simmons, Denise","Hall, Robert L.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1252,"Decker, Marjorie C.","Murphy, Brian","Galluccio, Anthony D.","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1253,"Galluccio, Anthony D.","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Maher, David P.","Decker, Marjorie C.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1254,"Sullivan, Michael A.","Murphy, Brian","Galluccio, Anthony D.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1255,"Decker, Marjorie C.","Galluccio, Anthony D.","Davis, Henrietta","Murphy, Brian","Simmons, Denise","Toomey, Timothy J., Jr.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1256,"Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.","Decker, Marjorie C.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1257,"Galluccio, Anthony D.","Sullivan, Michael A.","Murphy, Brian","Toomey, Timothy J., Jr.","Maher, David P.","Condit, James E., III",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1258,"Pitkin, John","Davis, Henrietta","Simmons, Denise","Decker, Marjorie C.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1259,"Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.","Condit, James E., III","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1260,"Decker, Marjorie C.","Simmons, Denise","Murphy, Brian","Davis, Henrietta","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1261,"Galluccio, Anthony D.","Decker, Marjorie C.","Sullivan, Michael A.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1262,"Decker, Marjorie C.","Galluccio, Anthony D.","Murphy, Brian","Davis, Henrietta","Pitkin, John","Maher, David P.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1263,"Decker, Marjorie C.","Galluccio, Anthony D.","Maher, David P.","Simmons, Denise","Hall, Robert L.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1264,"Sullivan, Michael A.","Decker, Marjorie C.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1265,"Galluccio, Anthony D.","Murphy, Brian","Peixoto, Helder",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1266,"Davis, Henrietta","Reeves, Kenneth E.","Simmons, Denise","Murphy, Brian","Horowitz, Jacob","King, Ethridge A.","Pitkin, John",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1267,"Davis, Henrietta","Maher, David P.","Galluccio, Anthony D.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1268,"Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.","Horowitz, Jacob",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1269,"Pitkin, John","Davis, Henrietta","Reeves, Kenneth E.","Maher, David P.","King, Ethridge A.","Murphy, Brian","Hall, Robert L.","Horowitz, Jacob",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1270,"Pitkin, John","Murphy, Brian","Simmons, Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1271,"Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Reeves, Kenneth E.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1272,"Davis, Henrietta","Murphy, Brian","Pitkin, John","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1273,"Hall, Robert L.","Decker, Marjorie C.","Simmons, Denise","Galluccio, Anthony D.","Maher, David P.","Murphy, Brian","Sullivan, Michael A.","Condit, James E., III",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1274,"Maher, David P.","Davis, Henrietta","Decker, Marjorie C.","Murphy, Brian","Reeves, Kenneth E.","Pitkin, John","Hall, Robert L.","Galluccio, Anthony D.","Jens, Steven E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1275,"Sullivan, Michael A.","Decker, Marjorie C.","Murphy, Brian","Pitkin, John",skipped,skipped,"Toomey, Timothy J., Jr.","Davis, Henrietta","Iskovitz, Steve","Maher, David P.","Peixoto, Helder","Reeves, Kenneth E.","Simmons, Denise","Williamson, James M.","Condit, James E., III","Dixon, Vincent Lawrence","Galluccio, Anthony D.","Hall, Robert L.",skipped
1276,"Decker, Marjorie C.","Simmons, Denise","Galluccio, Anthony D.","Murphy, Brian","Maher, David P.","Davis, Henrietta","Hall, Robert L.","Reeves, Kenneth E.","King, Ethridge A.","Pitkin, John",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1277,"Jens, Steven E.","Dixon, Vincent Lawrence","Pitkin, John",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1278,"Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1279,"Murphy, Brian","Galluccio, Anthony D.","Pitkin, John","Condit, James E., III","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1280,"Galluccio, Anthony D.","Sullivan, Michael A.","Maher, David P.","Simmons, Denise","Murphy, Brian","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1281,"Galluccio, Anthony D.","Maher, David P.",overvote,"Davis, Henrietta","Decker, Marjorie C.","Reeves, Kenneth E.","Pitkin, John","Murphy, Brian","Condit, James E., III",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1282,"Simmons, Denise","Davis, Henrietta","Decker, Marjorie C.","Murphy, Brian","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1283,"Davis, Henrietta","Decker, Marjorie C.","Toomey, Timothy J., Jr.","Horowitz, Jacob","Murphy, Brian","Pitkin, John","Simmons, Denise","Sullivan, Michael A.","King, Ethridge A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1284,"Galluccio, Anthony D.","Sullivan, Michael A.","Maher, David P.","Murphy, Brian",skipped,"Jens, Steven E.","Horowitz, Jacob","Peixoto, Helder","Pitkin, John","Williamson, James M.","Condit, James E., III","Davis, Henrietta","Dixon, Vincent Lawrence","Hall, Robert L.","Toomey, Timothy J., Jr.","King, Ethridge A.","Iskovitz, Steve","Decker, Marjorie C.","Reeves, Kenneth E."
1285,"Murphy, Brian","Pitkin, John","Maher, David P.","Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1286,"Pitkin, John","Murphy, Brian","Simmons, Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1287,"Galluccio, Anthony D.","Decker, Marjorie C.","Davis, Henrietta","Maher, David P.","Sullivan, Michael A.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1288,"Maher, David P.","Peixoto, Helder","Jens, Steven E.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1289,"Maher, David P.","Galluccio, Anthony D.","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1290,"Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1291,"Galluccio, Anthony D.","Simmons, Denise","Decker, Marjorie C.","King, Ethridge A.","Horowitz, Jacob",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1292,"Galluccio, Anthony D.","King, Ethridge A.","Simmons, Denise","Decker, Marjorie C.","Pitkin, John",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1293,"Davis, Henrietta","Murphy, Brian","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1294,"Davis, Henrietta","Maher, David P.","Murphy, Brian","Pitkin, John",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1295,"Maher, David P.","Toomey, Timothy J., Jr.","Galluccio, Anthony D.","Decker, Marjorie C.","Sullivan, Michael A.","Horowitz, Jacob",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,"Simmons, Denise"
1296,"Maher, David P.","Galluccio, Anthony D.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1297,"Decker, Marjorie C.","Reeves, Kenneth E.","Pitkin, John","Murphy, Brian","Galluccio, Anthony D.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1298,"Galluccio, Anthony D.","Toomey, Timothy J., Jr.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1299,"Reeves, Kenneth E.","Toomey, Timothy J., Jr.","Galluccio, Anthony D.","Maher, David P.","Hall, Robert L.","Dixon, Vincent Lawrence","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1300,"Simmons, Denise","Pitkin, John","Davis, Henrietta","Murphy, Brian","Galluccio, Anthony D.","Horowitz, Jacob",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1301,"Simmons, Denise","Decker, Marjorie C.","Murphy, Brian","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1302,"Simmons, Denise","Pitkin, John","Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.","Davis, Henrietta","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1303,"Simmons, Denise","Reeves, Kenneth E.","Decker, Marjorie C.","King, Ethridge A.","Horowitz, Jacob","Pitkin, John","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1304,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1305,"Galluccio, Anthony D.","Maher, David P.","Toomey, Timothy J., Jr.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1306,"Murphy, Brian","Davis, Henrietta","Decker, Marjorie C.","Dixon, Vincent Lawrence",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1307,"Galluccio, Anthony D.","Maher, David P.","Toomey, Timothy J., Jr.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1308,"Iskovitz, Steve","Jens, Steven E.","King, Ethridge A.",skipped,"Murphy, Brian",skipped,"Pitkin, John",overvote,"Toomey, Timothy J., Jr.","Williamson, James M.","Condit, James E., III",skipped,"Decker, Marjorie C.",skipped,"Galluccio, Anthony D.",skipped,skipped,skipped,skipped
1309,"Galluccio, Anthony D.","Maher, David P.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1310,"Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Williamson, James M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1311,"Murphy, Brian","Simmons, Denise","Davis, Henrietta","King, Ethridge A.","Galluccio, Anthony D.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1312,"Decker, Marjorie C.","Pitkin, John","Galluccio, Anthony D.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1313,"Jens, Steven E.","Condit, James E., III","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1314,"Galluccio, Anthony D.","Davis, Henrietta","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Reeves, Kenneth E.","Maher, David P.","Dixon, Vincent Lawrence","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1315,"Simmons, Denise","Decker, Marjorie C.","Davis, Henrietta","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1316,"Simmons, Denise","Murphy, Brian","Pitkin, John","Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
1317,"Decker, Marjorie C.",skipped,"Simmons, Denise","Murphy, Brian","Davis, Henrietta","Horowitz, Jacob","Hall, Robert L.",overvote,"Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
