ballotID,rank1,rank2,rank3,rank4
3240,Harvey Curley,Sarah A. Lucido,skipped,skipped
3241,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
3242,Harvey Curley,Larry Edwards,Harvey Curley,Mary Hall-Rayford
3243,Sarah A. Lucido,Harvey Curley,skipped,skipped
3244,Sarah A. Lucido,skipped,skipped,skipped
3245,Larry Edwards,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford
3246,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
3247,Mary Hall-Rayford,Larry Edwards,skipped,skipped
3248,Mary Hall-Rayford,skipped,skipped,Larry Edwards
3249,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
3250,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
3251,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
3252,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
3253,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
3254,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
3255,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
3256,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
3257,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
3258,Harvey Curley,Sarah A. Lucido,Larry Edwards,skipped
3259,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
3260,Harvey Curley,Sarah A. Lucido,skipped,skipped
3261,Sarah A. Lucido,Harvey Curley,skipped,skipped
3262,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
3263,Sarah A. Lucido,Harvey Curley,skipped,skipped
3264,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
3265,Sarah A. Lucido,Harvey Curley,skipped,skipped
3266,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
3267,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,skipped
3268,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
3269,Harvey Curley,skipped,skipped,skipped
3270,Larry Edwards,skipped,skipped,skipped
3271,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
3272,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
3273,Harvey Curley,Sarah A. Lucido,skipped,skipped
3274,Harvey Curley,skipped,skipped,skipped
3275,Sarah A. Lucido,Larry Edwards,skipped,skipped
3276,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
3277,Sarah A. Lucido,Harvey Curley,skipped,skipped
3278,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
3279,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
3280,Harvey Curley,skipped,skipped,skipped
3281,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
3282,Sarah A. Lucido,skipped,skipped,skipped
3283,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,skipped
3284,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
3285,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
3286,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
3287,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,skipped
3288,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
3289,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
3290,Harvey Curley,skipped,skipped,skipped
3291,Mary Hall-Rayford,Larry Edwards,skipped,skipped
3292,Sarah A. Lucido,Harvey Curley,skipped,skipped
3293,Sarah A. Lucido,Harvey Curley,skipped,skipped
3294,Larry Edwards,Harvey Curley,skipped,skipped
3295,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
3296,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
3297,Sarah A. Lucido,skipped,skipped,skipped
3298,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,skipped
3299,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
3300,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
3301,Harvey Curley,Larry Edwards,skipped,skipped
3302,Larry Edwards,skipped,skipped,skipped
3303,Sarah A. Lucido,Harvey Curley,skipped,skipped
3304,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
3305,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
3306,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
3307,Larry Edwards,Harvey Curley,writein,writein
3308,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
3309,Harvey Curley,skipped,skipped,skipped
3310,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
3311,Sarah A. Lucido,skipped,skipped,skipped
3312,Harvey Curley,skipped,skipped,skipped
3313,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
3314,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
3315,Sarah A. Lucido,Harvey Curley,skipped,skipped
3316,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
3317,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
3318,Harvey Curley,Sarah A. Lucido,skipped,skipped
3319,Mary Hall-Rayford,skipped,skipped,skipped
3320,Sarah A. Lucido,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
3321,Harvey Curley,skipped,skipped,skipped
3322,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,skipped
3323,Larry Edwards,skipped,skipped,skipped
3324,Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
3325,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
3326,Mary Hall-Rayford,Harvey Curley,Larry Edwards,skipped
3327,Larry Edwards,skipped,skipped,skipped
3328,Sarah A. Lucido,Mary Hall-Rayford,Sarah A. Lucido,Sarah A. Lucido
3329,Sarah A. Lucido,skipped,skipped,skipped
3330,Harvey Curley,skipped,skipped,skipped
3331,Harvey Curley,skipped,skipped,skipped
3332,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,skipped
3333,Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
3334,Mary Hall-Rayford,skipped,skipped,skipped
3335,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
3336,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
3337,Mary Hall-Rayford,skipped,skipped,skipped
3338,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
3339,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
3340,Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
3341,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
3342,Sarah A. Lucido,Harvey Curley,skipped,skipped
3343,Harvey Curley,skipped,skipped,skipped
3344,Harvey Curley,Sarah A. Lucido,skipped,skipped
3345,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
3346,Sarah A. Lucido,Harvey Curley,skipped,skipped
3347,Harvey Curley,Sarah A. Lucido,skipped,skipped
3348,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
3349,Harvey Curley,Sarah A. Lucido,skipped,skipped
3350,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
