ranks,ballotID,rank1,rank2,rank3
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3487,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['LARRY E. REID', 'NEHANDA IMARA', 'MARCIE HODGE']",3488,LARRY E. REID,NEHANDA IMARA,MARCIE HODGE
"['LARRY E. REID', 'NEHANDA IMARA', 'MARCIE HODGE']",3489,LARRY E. REID,NEHANDA IMARA,MARCIE HODGE
"['NEHANDA IMARA', 'NEHANDA IMARA', 'NEHANDA IMARA']",3490,NEHANDA IMARA,NEHANDA IMARA,NEHANDA IMARA
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3491,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3492,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3493,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['LARRY E. REID', 'NEHANDA IMARA', 'MARCIE HODGE']",3494,LARRY E. REID,NEHANDA IMARA,MARCIE HODGE
"['LARRY E. REID', 'NEHANDA IMARA', 'MARCIE HODGE']",3495,LARRY E. REID,NEHANDA IMARA,MARCIE HODGE
"['LARRY E. REID', 'MARCIE HODGE', 'LARRY E. REID']",3496,LARRY E. REID,MARCIE HODGE,LARRY E. REID
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3497,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['MARCIE HODGE', 'LARRY E. REID', 'NEHANDA IMARA']",3498,MARCIE HODGE,LARRY E. REID,NEHANDA IMARA
"['MARCIE HODGE', 'MARCIE HODGE', 'NEHANDA IMARA']",3499,MARCIE HODGE,MARCIE HODGE,NEHANDA IMARA
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3500,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['MARCIE HODGE', 'MARCIE HODGE', 'MARCIE HODGE']",3501,MARCIE HODGE,MARCIE HODGE,MARCIE HODGE
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3502,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3503,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['NEHANDA IMARA', 'LARRY E. REID', 'MARCIE HODGE']",3504,NEHANDA IMARA,LARRY E. REID,MARCIE HODGE
"['MARCIE HODGE', 'MARCIE HODGE', 'MARCIE HODGE']",3505,MARCIE HODGE,MARCIE HODGE,MARCIE HODGE
"['MARCIE HODGE', 'LARRY E. REID', 'MARCIE HODGE']",3506,MARCIE HODGE,LARRY E. REID,MARCIE HODGE
"['MARCIE HODGE', 'LARRY E. REID', 'NEHANDA IMARA']",3507,MARCIE HODGE,LARRY E. REID,NEHANDA IMARA
"['NEHANDA IMARA', 'NEHANDA IMARA', 'NEHANDA IMARA']",3508,NEHANDA IMARA,NEHANDA IMARA,NEHANDA IMARA
"['NEHANDA IMARA', 'MARCIE HODGE', 'LARRY E. REID']",3509,NEHANDA IMARA,MARCIE HODGE,LARRY E. REID
"['NEHANDA IMARA', 'skipped', 'skipped']",3510,NEHANDA IMARA,skipped,skipped
"['NEHANDA IMARA', 'NEHANDA IMARA', 'NEHANDA IMARA']",3511,NEHANDA IMARA,NEHANDA IMARA,NEHANDA IMARA
"['MARCIE HODGE', 'MARCIE HODGE', 'MARCIE HODGE']",3512,MARCIE HODGE,MARCIE HODGE,MARCIE HODGE
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3513,LARRY E. REID,LARRY E. REID,LARRY E. REID
