ranks,ballotID,rank1,rank2,rank3
"['VICTOR AGUILAR', 'LEE THOMAS', 'ALLEN SCHOENFELD']",6976,VICTOR AGUILAR,LEE THOMAS,ALLEN SCHOENFELD
"['VICTOR AGUILAR', 'LEE THOMAS', 'ALLEN SCHOENFELD']",6977,VICTOR AGUILAR,LEE THOMAS,ALLEN SCHOENFELD
"['LEE THOMAS', 'VICTOR AGUILAR', 'skipped']",6978,LEE THOMAS,VICTOR AGUILAR,skipped
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6979,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['ALLEN SCHOENFELD', 'LEE THOMAS', 'VICTOR AGUILAR']",6980,ALLEN SCHOENFELD,LEE THOMAS,VICTOR AGUILAR
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6981,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6982,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['LEE THOMAS', 'LEE THOMAS', 'LEE THOMAS']",6983,LEE THOMAS,LEE THOMAS,LEE THOMAS
"['skipped', 'skipped', 'skipped']",6984,skipped,skipped,skipped
"['LEE THOMAS', 'LEE THOMAS', 'LEE THOMAS']",6985,LEE THOMAS,LEE THOMAS,LEE THOMAS
"['ALLEN SCHOENFELD', 'VICTOR AGUILAR', 'LEE THOMAS']",6986,ALLEN SCHOENFELD,VICTOR AGUILAR,LEE THOMAS
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6987,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['VICTOR AGUILAR', 'ALLEN SCHOENFELD', 'LEE THOMAS']",6988,VICTOR AGUILAR,ALLEN SCHOENFELD,LEE THOMAS
"['skipped', 'skipped', 'skipped']",6989,skipped,skipped,skipped
"['ALLEN SCHOENFELD', 'VICTOR AGUILAR', 'LEE THOMAS']",6990,ALLEN SCHOENFELD,VICTOR AGUILAR,LEE THOMAS
"['skipped', 'skipped', 'skipped']",6991,skipped,skipped,skipped
"['ALLEN SCHOENFELD', 'LEE THOMAS', 'VICTOR AGUILAR']",6992,ALLEN SCHOENFELD,LEE THOMAS,VICTOR AGUILAR
"['VICTOR AGUILAR', 'ALLEN SCHOENFELD', 'LEE THOMAS']",6993,VICTOR AGUILAR,ALLEN SCHOENFELD,LEE THOMAS
"['LEE THOMAS', 'ALLEN SCHOENFELD', 'skipped']",6994,LEE THOMAS,ALLEN SCHOENFELD,skipped
"['LEE THOMAS', 'ALLEN SCHOENFELD', 'skipped']",6995,LEE THOMAS,ALLEN SCHOENFELD,skipped
"['LEE THOMAS', 'ALLEN SCHOENFELD', 'VICTOR AGUILAR']",6996,LEE THOMAS,ALLEN SCHOENFELD,VICTOR AGUILAR
"['ALLEN SCHOENFELD', 'LEE THOMAS', 'ALLEN SCHOENFELD']",6997,ALLEN SCHOENFELD,LEE THOMAS,ALLEN SCHOENFELD
"['LEE THOMAS', 'VICTOR AGUILAR', 'skipped']",6998,LEE THOMAS,VICTOR AGUILAR,skipped
"['VICTOR AGUILAR', 'ALLEN SCHOENFELD', 'LEE THOMAS']",6999,VICTOR AGUILAR,ALLEN SCHOENFELD,LEE THOMAS
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",7000,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['VICTOR AGUILAR', 'ALLEN SCHOENFELD', 'LEE THOMAS']",7001,VICTOR AGUILAR,ALLEN SCHOENFELD,LEE THOMAS
"['skipped', 'skipped', 'skipped']",7002,skipped,skipped,skipped
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",7003,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['LEE THOMAS', 'LEE THOMAS', 'LEE THOMAS']",7004,LEE THOMAS,LEE THOMAS,LEE THOMAS
"['skipped', 'skipped', 'skipped']",7005,skipped,skipped,skipped
"['VICTOR AGUILAR', 'VICTOR AGUILAR', 'VICTOR AGUILAR']",7006,VICTOR AGUILAR,VICTOR AGUILAR,VICTOR AGUILAR
"['VICTOR AGUILAR', 'ALLEN SCHOENFELD', 'VICTOR AGUILAR']",7007,VICTOR AGUILAR,ALLEN SCHOENFELD,VICTOR AGUILAR
