contest_name,place,state,year,date,office,rcv_type,exhaust_on_overvote,exhaust_on_repeated_skipped_rankings,contest_rank_limit,number_of_winners,tabulation_num,unique_id,winner,number_of_candidates,number_of_rounds,final_round_winner_vote,final_round_winner_percent,final_round_active_votes,first_round_winner_vote,first_round_winner_percent,first_round_active_votes,first_round_winner_place,final_round_winner_votes_over_first_round_valid,winners_consensus_value,condorcet,come_from_behind,effective_ballot_length,first_round_overvote,ranked_single,ranked_multiple,ranked_3_or_more,total_fully_ranked,ranked_winner,includes_duplicate_ranking,includes_skipped_ranking,total_irregular,total_ballots,total_ballots_with_overvote,total_undervote,total_pretally_exhausted,total_posttally_exhausted,total_posttally_exhausted_by_overvote,total_posttally_exhausted_by_skipped_rankings,total_posttally_exhausted_by_abstention,total_posttally_exhausted_by_rank_limit
Minneapolis City Council Ward 5 2009,Minneapolis,MN,2009,11/6/2009,Ward 5 City Council,rcv_single_winner,False,False,3,1,1,Minneapolis_11062009_Ward5CityCouncil_tab1,Don Samuels,5,5,1131.0,55.879446640316196,2024.0,1020.0,47.004608294930875,2170.0,1,52.11981566820276,63.87096774193548,yes,no,0: 30; 1: 828; 2: 361; 3: 981,0.0,828.0,1342.0,981.0,981.0,1386,6.0,0.0,6.0,2200.0,0.0,30.0,0.0,146.0,0.0,0.0,129.0,17.0
Minneapolis City Council Ward 6 2009,Minneapolis,MN,2009,11/6/2009,Ward 6 City Council,rcv_single_winner,False,False,3,1,1,Minneapolis_11062009_Ward6CityCouncil_tab1,Robert Lilligren,6,1,1020.0,52.84974093264248,1930.0,1020.0,52.84974093264248,1930.0,1,52.84974093264248,68.03108808290156,yes,no,0: 52; 1: 671; 2: 329; 3: 930,0.0,671.0,1259.0,930.0,930.0,1313,4.0,0.0,4.0,1982.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
Minneapolis City Council Ward 7 2009,Minneapolis,MN,2009,11/6/2009,Ward 7 City Council,rcv_single_winner,False,False,3,1,1,Minneapolis_11062009_Ward7CityCouncil_tab1,Lisa Goodman,3,1,2997.0,68.23770491803278,4392.0,2997.0,68.23770491803278,4392.0,1,68.23770491803278,77.04918032786885,yes,no,0: 140; 1: 2873; 2: 766; 3: 753,0.0,2873.0,1519.0,753.0,753.0,3384,15.0,0.0,15.0,4532.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0
Minneapolis City Council Ward 8 2009,Minneapolis,MN,2009,11/6/2009,Ward 8 City Council,rcv_single_winner,False,False,3,1,1,Minneapolis_11062009_Ward8CityCouncil_tab1,Elizabeth Glidden,5,1,2291.0,73.99870801033592,3096.0,2291.0,73.99870801033592,3096.0,1,73.99870801033592,88.0813953488372,yes,no,0: 143; 1: 1262; 2: 896; 3: 938,0.0,1262.0,1834.0,938.0,938.0,2727,4.0,0.0,4.0,3239.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0
Minneapolis City Council Ward 9 2009,Minneapolis,MN,2009,11/6/2009,Ward 9 City Council,rcv_single_winner,False,False,3,1,1,Minneapolis_11062009_Ward9CityCouncil_tab1,Gary Schiff,4,1,1818.0,60.70116861435726,2995.0,1818.0,60.70116861435726,2995.0,1,60.70116861435726,80.86811352253757,yes,no,0: 40; 1: 1082; 2: 955; 3: 958,0.0,1082.0,1913.0,958.0,958.0,2422,8.0,1.0,9.0,3035.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
2010 City Auditor - Berkeley Nov 2010cam,Berkeley,CA,2010,11/2/2010,City Auditor,rcv_single_winner,True,False,3,1,1,Berkeley_11022010_CityAuditor_tab1,Ann-Marie Hogan,1,1,31428.0,97.76948203453102,32145.0,31428.0,97.76948203453102,32145.0,1,97.76948203453102,98.338777414839,yes,no,0: 13841; 1: 31240; 2: 905,22.0,31241.0,913.0,0.0,31603.0,31611,9012.0,498.0,9472.0,45986.0,40.0,13819.0,22.0,0.0,0.0,0.0,0.0,0.0
"2010 Member, City Council, District 1 - Berkeley Nov 2010",Berkeley,CA,2010,11/2/2010,City Council District 1,rcv_single_winner,True,False,3,1,1,Berkeley_11022010_CityCouncilDistrict1_tab1,Linda Maio,4,1,3735.0,65.52631578947367,5700.0,3735.0,65.52631578947367,5700.0,1,65.52631578947368,83.94736842105263,yes,no,0: 726; 1: 2087; 2: 962; 3: 2651,7.0,2084.0,3620.0,2651.0,2651.0,4785,518.0,36.0,566.0,6426.0,24.0,719.0,7.0,0.0,0.0,0.0,0.0,0.0
"2010 Member, City Council, District 4 - Berkeley Nov 2010",Berkeley,CA,2010,11/2/2010,City Council District 4,rcv_single_winner,True,False,3,1,1,Berkeley_11022010_CityCouncilDistrict4_tab1,Jesse Arreguin,4,1,2544.0,53.45660853120403,4759.0,2544.0,53.45660853120403,4759.0,1,53.45660853120403,76.99096448833788,yes,no,0: 949; 1: 1341; 2: 908; 3: 2510,9.0,1341.0,3425.0,2510.0,2510.0,3664,341.0,38.0,385.0,5708.0,22.0,940.0,9.0,0.0,0.0,0.0,0.0,0.0
"2010 Member, City Council, District 7 - Berkeley Nov 2010",Berkeley,CA,2010,11/2/2010,City Council District 7,rcv_single_winner,True,False,3,1,1,Berkeley_11022010_CityCouncilDistrict7_tab1,Kriss Worthington,3,2,2086.0,50.059995200383966,4167.0,2078.0,49.66539196940726,4184.0,1,49.8565965583174,86.1376673040153,yes,no,0: 678; 1: 862; 2: 799; 3: 2523,5.0,856.0,3330.0,2523.0,2523.0,3604,262.0,16.0,293.0,4862.0,18.0,673.0,5.0,17.0,0.0,0.0,17.0,0.0
"2010 Member, City Council, District 8 - Berkeley Nov 2010",Berkeley,CA,2010,11/2/2010,City Council District 8,rcv_single_winner,True,False,3,1,1,Berkeley_11022010_CityCouncilDistrict8_tab1,Gordon Wozniak,3,1,2806.0,60.98674201260595,4601.0,2806.0,60.98674201260595,4601.0,1,60.98674201260595,84.48163442729842,yes,no,0: 732; 1: 1179; 2: 1061; 3: 2361,6.0,1174.0,3431.0,2361.0,2361.0,3887,290.0,19.0,319.0,5333.0,18.0,726.0,6.0,0.0,0.0,0.0,0.0,0.0
2010 City Auditor - Oakland Nov 2010,Oakland,CA,2010,11/2/2010,City Auditor,rcv_single_winner,True,False,3,1,1,Oakland_11022010_CityAuditor_tab1,Courtney Ruby,2,1,65335.0,66.92445582586427,97625.0,65335.0,66.92445582586427,97625.0,1,66.92445582586429,87.7326504481434,yes,no,0: 24643; 1: 39199; 2: 49693; 3: 8733,122.0,39215.0,58495.0,8733.0,56844.0,85649,21148.0,1166.0,22259.0,122268.0,363.0,24521.0,122.0,0.0,0.0,0.0,0.0,0.0
2010 Mayor of Oakland Nov 2010,Oakland,CA,2010,11/2/2010,Mayor,rcv_single_winner,True,False,3,1,1,Oakland_11022010_Mayor_tab1,Jean Quan,10,10,53897.0,50.957274815872324,105769.0,29266.0,24.468467564607423,119607.0,2,45.061743877866675,62.58831004874297,yes,yes,0: 2661; 1: 17436; 2: 15810; 3: 86361,355.0,17278.0,102560.0,86361.0,86361.0,74860,9862.0,481.0,11205.0,122268.0,1067.0,2306.0,355.0,13838.0,171.0,0.0,4522.0,9145.0
"2010 Member, City Council, District 2 - Oakland Nov 2010",Oakland,CA,2010,11/2/2010,City Council District 2,rcv_single_winner,True,False,3,1,1,Oakland_11022010_CityCouncilDistrict2_tab1,Patricia Kernighan,2,1,8954.0,65.67886745397198,13633.0,8954.0,65.67886745397198,13633.0,1,65.67886745397198,82.99713929435927,yes,no,0: 1610; 1: 6454; 2: 6215; 3: 964,11.0,6450.0,7190.0,964.0,6946.0,11315,2492.0,158.0,2624.0,15243.0,38.0,1599.0,11.0,0.0,0.0,0.0,0.0,0.0
"2010 Member, City Council, District 4 - Oakland Nov 2010",Oakland,CA,2010,11/2/2010,City Council District 4,rcv_single_winner,True,False,3,1,1,Oakland_11022010_CityCouncilDistrict4_tab1,Libby Schaaf,7,6,10439.0,53.067968074830965,19671.0,8756.0,41.70715442507383,20994.0,1,49.723730589692295,67.73363818233781,yes,no,0: 2890; 1: 4043; 2: 3452; 3: 13499,46.0,4028.0,16997.0,13499.0,13499.0,14220,1320.0,111.0,1516.0,23884.0,113.0,2844.0,46.0,1323.0,14.0,0.0,738.0,571.0
"2010 Member, City Council, District 6 - Oakland Nov 2010",Oakland,CA,2010,11/2/2010,City Council District 6,rcv_single_winner,True,False,3,1,1,Oakland_11022010_CityCouncilDistrict6_tab1,Desley Brooks,3,1,8282.0,64.14685152195801,12911.0,8282.0,64.14685152195801,12911.0,1,64.14685152195801,85.93447447912632,yes,no,0: 1129; 1: 3876; 2: 1848; 3: 7187,12.0,3863.0,9056.0,7187.0,7187.0,11095,2136.0,128.0,2267.0,14040.0,64.0,1117.0,12.0,0.0,0.0,0.0,0.0,0.0
"2010 School Director, District 2 - Oakland Nov 2010",Oakland,CA,2010,11/2/2010,School Director District 2,rcv_single_winner,True,False,3,1,1,Oakland_11022010_SchoolDirectorDistrict2_tab1,David Kakishiba,1,1,9892.0,97.70841564598972,10124.0,9892.0,97.70841564598972,10124.0,1,97.70841564598973,98.29118925325957,yes,no,0: 5119; 1: 9353; 2: 771,5.0,9349.0,776.0,0.0,9951.0,9951,2309.0,81.0,2388.0,15243.0,17.0,5114.0,5.0,0.0,0.0,0.0,0.0,0.0
"2010 School Director, District 4 - Oakland Nov 2010",Oakland,CA,2010,11/2/2010,School Director District 4,rcv_single_winner,True,False,3,1,1,Oakland_11022010_SchoolDirectorDistrict4_tab1,Gary D. Yee,2,1,13043.0,68.65820919092488,18997.0,13043.0,68.65820919092488,18997.0,1,68.65820919092488,87.33484234352792,yes,no,0: 4887; 1: 8264; 2: 9254; 3: 1479,16.0,8267.0,10738.0,1479.0,10483.0,16591,2668.0,92.0,2778.0,23884.0,40.0,4871.0,16.0,0.0,0.0,0.0,0.0,0.0
"2010 School Director, District 6 - Oakland Nov 2010",Oakland,CA,2010,11/2/2010,School Director District 6,rcv_single_winner,True,False,3,1,1,Oakland_11022010_SchoolDirectorDistrict6_tab1,Christopher Dobbins,1,1,9908.0,97.47171667486472,10165.0,9908.0,97.47171667486472,10165.0,1,97.47171667486472,98.10132808657157,yes,no,0: 3875; 1: 9343; 2: 822,7.0,9342.0,825.0,0.0,9970.0,9972,3234.0,91.0,3318.0,14040.0,15.0,3868.0,7.0,0.0,0.0,0.0,0.0,0.0
San Francisco Board of Supervisors District 10 2010,San Francisco,CA,2010,11/2/2010,Board of Supervisors District 10,rcv_single_winner,True,False,3,1,1,SanFrancisco_11022010_BoardofSupervisorsDistrict10_tab1,Malia Cohen,21,21,4321.0,52.695121951219505,8200.0,2097.0,11.775606469002694,17808.0,3,24.264375561545375,25.977088948787063,yes,yes,0: 2742; 1: 4161; 2: 2584; 3: 11063,500.0,4231.0,13776.0,11063.0,11063.0,4626,2950.0,166.0,3660.0,20550.0,633.0,2242.0,500.0,9608.0,105.0,0.0,2682.0,6821.0
San Francisco Board of Supervisors District 2 2010,San Francisco,CA,2010,11/2/2010,Board of Supervisors District 2,rcv_single_winner,True,False,3,1,1,SanFrancisco_11022010_BoardofSupervisorsDistrict2_tab1,Mark Farrell,6,6,11426.0,50.570948039302465,22594.0,9700.0,40.25898563957831,24094.0,2,47.422594836888855,60.674856810824274,yes,yes,0: 4817; 1: 9467; 2: 4416; 3: 10211,86.0,9465.0,14678.0,10211.0,10211.0,14619,4217.0,111.0,4440.0,28911.0,151.0,4731.0,86.0,1500.0,11.0,0.0,693.0,796.0
San Francisco Board of Supervisors District 6 2010,San Francisco,CA,2010,11/2/2010,Board of Supervisors District 6,rcv_single_winner,True,False,3,1,1,SanFrancisco_11022010_BoardofSupervisorsDistrict6_tab1,Jane Kim,14,14,8865.0,54.07796010492283,16393.0,6621.0,31.39998103006734,21086.0,1,42.04211325049796,57.03784501565019,yes,no,0: 3971; 1: 5680; 2: 2692; 3: 12714,357.0,5731.0,15503.0,12714.0,12714.0,12027,3024.0,158.0,3559.0,25057.0,438.0,3614.0,357.0,4693.0,29.0,0.0,1553.0,3111.0
San Francisco Board of Supervisors District 8 2010,San Francisco,CA,2010,11/2/2010,Board of Supervisors District 8,rcv_single_winner,True,False,3,1,1,SanFrancisco_11022010_BoardofSupervisorsDistrict8_tab1,Scott Wiener,4,4,18239.0,55.393913624491276,32926.0,14813.0,42.38340486409156,34950.0,1,52.185979971387695,71.13018597997139,yes,no,0: 3601; 1: 9681; 2: 8285; 3: 16984,79.0,9683.0,25310.0,16984.0,16984.0,24860,5050.0,111.0,5268.0,38551.0,146.0,3522.0,79.0,2024.0,15.0,0.0,2009.0,0.0
2010 Mayor of San Leandro Nov 2010,San Leandro,CA,2010,11/2/2010,Mayor,rcv_single_winner,True,False,3,1,1,SanLeandro_11022010_Mayor_tab1,Stephen H. Cassidy,6,6,10277.0,50.57080995964963,20322.0,7908.0,35.17167763743106,22484.0,2,45.70805906422345,64.8905888631916,yes,yes,0: 1010; 1: 5577; 2: 3271; 3: 13636,55.0,5546.0,16959.0,13636.0,13636.0,14590,2667.0,137.0,2925.0,23494.0,179.0,955.0,55.0,2162.0,28.0,0.0,1229.0,905.0
"2010 Member, City Council, District 1 - San Leandro Nov 2010",San Leandro,CA,2010,11/2/2010,County Council District 1,rcv_single_winner,True,False,3,1,1,SanLeandro_11022010_CountyCouncilDistrict1_tab1,Michael J. Gregory,3,1,13030.0,65.00698463380562,20044.0,13030.0,65.00698463380562,20044.0,1,65.00698463380563,83.69088006385951,yes,no,0: 3450; 1: 8419; 2: 10178; 3: 1447,34.0,8412.0,11641.0,1447.0,1447.0,16775,4237.0,208.0,4438.0,23494.0,83.0,3416.0,34.0,0.0,0.0,0.0,0.0,0.0
"2010 Member, City Council, District 3 - San Leandro Nov 2010",San Leandro,CA,2010,11/2/2010,County Council District 3,rcv_single_winner,True,False,3,1,1,SanLeandro_11022010_CountyCouncilDistrict3_tab1,Diana M. Souza,1,1,17183.0,97.12848340964332,17691.0,17183.0,97.12848340964332,17691.0,1,97.12848340964332,97.931151432932,yes,no,0: 5803; 1: 16308; 2: 1383,23.0,16307.0,1389.0,0.0,17323.0,17325,5020.0,343.0,5256.0,23494.0,33.0,5780.0,23.0,0.0,0.0,0.0,0.0,0.0
"2010 Member, City Council, District 5 - San Leandro Nov 2010",San Leandro,CA,2010,11/2/2010,County Council District 5,rcv_single_winner,True,False,3,1,1,SanLeandro_11022010_CountyCouncilDistrict5_tab1,Pauline Russo Cutter,2,1,10784.0,53.14409619554503,20292.0,10784.0,53.14409619554503,20292.0,1,53.144096195545046,78.25251330573624,yes,no,0: 3202; 1: 8683; 2: 10315; 3: 1294,41.0,8696.0,11617.0,1294.0,11350.0,15879,4155.0,305.0,4436.0,23494.0,86.0,3161.0,41.0,0.0,0.0,0.0,0.0,0.0
San Francisco District Attorney 2011,San Francisco,CA,2011,11/8/2011,District Attorney,rcv_single_winner,True,False,3,1,1,SanFrancisco_11082011_DistrictAttorney_tab1,George Gascón,5,4,100245.0,62.263588424916605,161001.0,76236.0,41.54844757394257,183487.0,1,54.63329827181217,61.9771427948574,yes,no,0: 13755; 1: 48756; 2: 39413; 3: 95318,559.0,48788.0,135011.0,95318.0,95318.0,113720,11481.0,989.0,13181.0,197242.0,935.0,13196.0,559.0,22486.0,123.0,0.0,16017.0,6346.0
San Francisco Mayor 2011,San Francisco,CA,2011,11/8/2011,Mayor,rcv_single_winner,True,False,3,1,1,SanFrancisco_11082011_Mayor_tab1,Ed Lee,16,16,84457.0,59.63761412824731,141617.0,59775.0,30.745609974385086,194418.0,1,43.44093653879785,46.05797817074551,yes,no,0: 2824; 1: 30844; 2: 21984; 3: 141590,820.0,30835.0,163919.0,141590.0,141590.0,89545,10124.0,725.0,12051.0,197242.0,1383.0,2004.0,820.0,52801.0,277.0,0.0,15811.0,36713.0
San Francisco Sheriff 2011,San Francisco,CA,2011,11/8/2011,Sheriff,rcv_single_winner,True,False,3,1,1,SanFrancisco_11082011_Sheriff_tab1,Ross Mirkarimi,4,3,86592.0,53.54141805118439,161729.0,70457.0,38.452134713725144,183233.0,1,47.257862939536,62.92152614430807,yes,no,0: 14009; 1: 70082; 2: 36154; 3: 76997,378.0,70070.0,113348.0,76997.0,76997.0,115293,12970.0,1174.0,14590.0,197242.0,657.0,13631.0,378.0,21504.0,93.0,0.0,21411.0,0.0
2012 Mayor - Berkeley Nov 2012,Berkeley,CA,2012,11/6/2012,Mayor,rcv_single_winner,True,False,3,1,1,Berkeley_11062012_Mayor_tab1,Tom Bates,7,1,28692.0,54.067499576007684,53067.0,28692.0,54.067499576007684,53067.0,1,54.06749957600769,72.44803738669984,yes,no,0: 4425; 1: 16135; 2: 9261; 3: 27671,156.0,16139.0,37031.0,27671.0,27671.0,38446,7849.0,229.0,8297.0,57492.0,291.0,4269.0,156.0,0.0,0.0,0.0,0.0,0.0
"2012 Member, City Council, District 2 - Berkeley Nov 2012",Berkeley,CA,2012,11/6/2012,City Council District 2,rcv_single_winner,True,False,3,1,1,Berkeley_11062012_CityCouncilDistrict2_tab1,Darryl Moore,3,1,3407.0,58.70089593383872,5804.0,3407.0,58.70089593383872,5804.0,1,58.70089593383874,81.5644383184011,yes,no,0: 1035; 1: 1984; 2: 1179; 3: 2641,15.0,1985.0,3827.0,2641.0,2641.0,4734,1274.0,26.0,1315.0,6839.0,25.0,1020.0,15.0,0.0,0.0,0.0,0.0,0.0
"2012 Member, City Council, District 3 - Berkeley Nov 2012",Berkeley,CA,2012,11/6/2012,City Council District 3,rcv_single_winner,True,False,3,1,1,Berkeley_11062012_CityCouncilDistrict3_tab1,Max Anderson,2,1,3130.0,60.35480138835325,5186.0,3130.0,60.35480138835325,5186.0,1,60.354801388353266,76.01234091785577,yes,no,0: 1338; 1: 3021; 2: 1998; 3: 167,6.0,3021.0,2168.0,167.0,2102.0,3942,1993.0,38.0,2032.0,6524.0,13.0,1332.0,6.0,0.0,0.0,0.0,0.0,0.0
"2012 Member, City Council, District 5 - Berkeley Nov 2012",Berkeley,CA,2012,11/6/2012,City Council District 5,rcv_single_winner,True,False,3,1,1,Berkeley_11062012_CityCouncilDistrict5_tab1,Laurie Capitelli,2,1,4333.0,54.27104208416833,7984.0,4333.0,54.27104208416833,7984.0,1,54.27104208416834,71.14228456913828,yes,no,0: 783; 1: 4955; 2: 2878; 3: 151,5.0,4955.0,3031.0,151.0,2959.0,5680,2216.0,35.0,2251.0,8767.0,12.0,778.0,5.0,0.0,0.0,0.0,0.0,0.0
"2012 Member, City Council, District 6 - Berkeley Nov 2012",Berkeley,CA,2012,11/6/2012,City Council District 6,rcv_single_winner,True,False,3,1,1,Berkeley_11062012_CityCouncilDistrict6_tab1,Susan Wengraf,2,1,5601.0,93.70921867157436,5977.0,5601.0,93.70921867157436,5977.0,1,93.70921867157436,94.71306675589761,yes,no,0: 1966; 1: 5806; 2: 167; 3: 4,9.0,5810.0,172.0,4.0,81.0,5661,2220.0,38.0,2260.0,7943.0,10.0,1957.0,9.0,0.0,0.0,0.0,0.0,0.0
2012 City Attorney - Oakland Nov 2012,Oakland,CA,2012,11/6/2012,City Attorney,rcv_single_winner,True,False,3,1,1,Oakland_11062012_CityAttorney_tab1,Barbara Parker,2,1,90055.0,68.42617146243798,131609.0,90055.0,68.42617146243798,131609.0,1,68.42617146243798,85.93713195906055,yes,no,0: 25223; 1: 68408; 2: 56940; 3: 6261,243.0,68469.0,63255.0,6261.0,61192.0,113101,56696.0,1060.0,57683.0,156832.0,427.0,24980.0,243.0,0.0,0.0,0.0,0.0,0.0
"2012 Member, City Council, At-Large - Oakland Nov 2012",Oakland,CA,2012,11/6/2012,City Council At-Large,rcv_single_winner,True,False,3,1,1,Oakland_11062012_CityCouncilAtLarge_tab1,Rebecca Kaplan,5,5,78941.0,60.697232751793436,130057.0,65041.0,45.00484362026017,144520.0,1,54.62288956545807,68.05494049266537,yes,no,0: 12312; 1: 43159; 2: 21789; 3: 79572,923.0,43150.0,101809.0,79572.0,79572.0,98353,32430.0,694.0,34347.0,156832.0,1583.0,11389.0,923.0,14463.0,148.0,0.0,2982.0,11333.0
"2012 Member, City Council, District 1- Oakland Nov 2012",Oakland,CA,2012,11/6/2012,City Council District 1,rcv_single_winner,True,False,3,1,1,Oakland_11062012_CityCouncilDistrict1_tab1,Dan Kalb,7,7,12293.0,51.779621751400526,23741.0,8259.0,28.81817230189469,28659.0,1,42.894029798667084,61.26522209428102,yes,no,0: 5521; 1: 6302; 2: 4111; 3: 18246,107.0,6277.0,22438.0,18246.0,18246.0,17558,3843.0,97.0,4119.0,34180.0,214.0,5414.0,107.0,4918.0,42.0,0.0,1489.0,3387.0
"2012 Member, City Council, District 5- Oakland Nov 2012",Oakland,CA,2012,11/6/2012,City Council District 5,rcv_single_winner,True,False,3,1,1,Oakland_11062012_CityCouncilDistrict5_tab1,Noel Gallo,4,4,5716.0,54.64627151051624,10460.0,4633.0,41.02904711300035,11292.0,1,50.61990789939781,68.22529224229544,yes,no,0: 2190; 1: 3699; 2: 1856; 3: 5737,66.0,3702.0,7628.0,5737.0,5737.0,7704,2967.0,54.0,3120.0,13482.0,123.0,2124.0,66.0,832.0,17.0,0.0,815.0,0.0
"2012 Member, City Council, District 7- Oakland Nov 2012",Oakland,CA,2012,11/6/2012,City Council District 7,rcv_single_winner,True,False,3,1,1,Oakland_11062012_CityCouncilDistrict7_tab1,Larry E. Reid,3,1,8725.0,57.915698639229994,15065.0,8725.0,57.915698639229994,15065.0,1,57.91569863923001,81.32094258214404,yes,no,0: 1949; 1: 5715; 2: 2139; 3: 7211,39.0,5722.0,9362.0,7211.0,7211.0,12251,5326.0,114.0,5462.0,17014.0,91.0,1910.0,39.0,0.0,0.0,0.0,0.0,0.0
"2012 Member, City Council,District 3 - Oakland Nov 2012",Oakland,CA,2012,11/6/2012,City Council District 3,rcv_single_winner,True,False,3,1,1,Oakland_11062012_CityCouncilDistrict3_tab1,Lynette Gibson-Mcelhaney,6,6,9397.0,53.92207494118322,17427.0,5207.0,23.56641774157049,22095.0,2,42.529984159312065,57.33423851550125,yes,yes,0: 4666; 1: 4725; 2: 2524; 3: 14846,98.0,4715.0,17436.0,14846.0,14846.0,12668,3991.0,107.0,4240.0,26761.0,203.0,4568.0,98.0,4668.0,48.0,0.0,1026.0,3594.0
"2012 School Director, District 1 - Oakland Nov 2012",Oakland,CA,2012,11/6/2012,School Director District 1,rcv_single_winner,True,False,3,1,1,Oakland_11062012_SchoolDirectorDistrict1_tab1,Jody London,2,1,19840.0,75.39712700463632,26314.0,19840.0,75.39712700463632,26314.0,1,75.39712700463632,86.34187124724481,yes,no,0: 7866; 1: 14546; 2: 10850; 3: 918,29.0,14552.0,11774.0,918.0,11447.0,22720,8342.0,195.0,8509.0,34180.0,50.0,7837.0,29.0,0.0,0.0,0.0,0.0,0.0
"2012 School Director, District 3 - Oakland Nov 2012",Oakland,CA,2012,11/6/2012,School Director District 3,rcv_single_winner,True,False,3,1,1,Oakland_11062012_SchoolDirectorDistrict3_tab1,Jumoke Hinton Hodge,3,3,11725.0,61.03274165842486,19211.0,9694.0,46.79474802085345,20716.0,1,56.598764240200815,78.91484842633713,yes,no,0: 6045; 1: 6737; 2: 3498; 3: 10481,37.0,6734.0,14006.0,10481.0,10481.0,16348,5238.0,140.0,5402.0,26761.0,90.0,6008.0,37.0,1505.0,10.0,0.0,1495.0,0.0
"2012 School Director, District 5 - Oakland Nov 2012",Oakland,CA,2012,11/6/2012,School Director District 5,rcv_single_winner,True,False,3,1,1,Oakland_11062012_SchoolDirectorDistrict5_tab1,Rosie Torres,2,1,6005.0,54.40297155281753,11038.0,6005.0,54.40297155281753,11038.0,1,54.40297155281753,78.00326146040949,yes,no,0: 2444; 1: 5563; 2: 4803; 3: 672,28.0,5572.0,5481.0,672.0,5323.0,8610,4972.0,117.0,5076.0,13482.0,47.0,2416.0,28.0,0.0,0.0,0.0,0.0,0.0
"2012 School Director, District 7 - Oakland Nov 2012",Oakland,CA,2012,11/6/2012,School Director District 7,rcv_single_winner,True,False,3,1,1,Oakland_11062012_SchoolDirectorDistrict7_tab1,James Harris,2,1,7986.0,56.614206720544445,14106.0,7986.0,56.614206720544445,14106.0,1,56.614206720544445,79.0089323692046,yes,no,0: 2334; 1: 6792; 2: 6425; 3: 889,35.0,6808.0,7320.0,889.0,7103.0,11145,7960.0,197.0,8121.0,16440.0,59.0,2299.0,35.0,0.0,0.0,0.0,0.0,0.0
San Francisco Board of Supervisors District 5 2012,San Francisco,CA,2012,11/6/2012,Board of Supervisors District 5,rcv_single_winner,True,False,3,1,1,SanFrancisco_11062012_BoardofSupervisorsDistrict5_tab1,London Breed,8,7,14945.0,56.15676549054972,26613.0,9842.0,28.00238996215893,35147.0,1,42.52141007767377,51.15941616638688,yes,no,0: 5106; 1: 6222; 2: 5284; 3: 23641,209.0,6236.0,29030.0,23641.0,23641.0,17981,1981.0,210.0,2447.0,40253.0,304.0,4897.0,209.0,8534.0,33.0,0.0,3604.0,4897.0
San Francisco Board of Supervisors District 7 2012,San Francisco,CA,2012,11/6/2012,Board of Supervisors District 7,rcv_single_winner,True,False,3,1,1,SanFrancisco_11062012_BoardofSupervisorsDistrict7_tab1,Norman Yee,9,8,12505.0,50.26529463783261,24878.0,9182.0,29.256014019436034,31385.0,1,39.843874462322766,53.353512824597736,yes,no,0: 3966; 1: 6122; 2: 4507; 3: 20756,181.0,6145.0,25338.0,20756.0,20756.0,16745,1737.0,174.0,2123.0,35351.0,251.0,3785.0,181.0,6507.0,24.0,0.0,2593.0,3890.0
"2012 Member, City Council, District 2 - San Leandro Nov 2012",San Leandro,CA,2012,11/6/2012,County Council District 2,rcv_single_winner,True,False,3,1,1,SanLeandro_11062012_CountyCouncilDistrict2_tab1,Ursula Reed,3,3,12057.0,50.388665997993975,23928.0,10734.0,42.20003145148608,25436.0,1,47.40132096241547,82.37144205063689,yes,no,0: 3267; 1: 6393; 2: 3748; 3: 15295,128.0,6377.0,19129.0,15295.0,15295.0,20952,6259.0,105.0,6548.0,28703.0,248.0,3139.0,128.0,1508.0,19.0,0.0,1489.0,0.0
"2012 Member, City Council, District 4 - San Leandro Nov 2012",San Leandro,CA,2012,11/6/2012,County Council District 4,rcv_single_winner,True,False,3,1,1,SanLeandro_11062012_CountyCouncilDistrict4_tab1,Benny Lee,4,4,12945.0,60.98652595872986,21226.0,10271.0,44.128893662728245,23275.0,1,55.617615467239524,71.5703544575725,yes,no,0: 5428; 1: 6112; 2: 2500; 3: 14663,84.0,6095.0,17228.0,14663.0,14663.0,16658,4978.0,115.0,5235.0,28703.0,183.0,5344.0,84.0,2049.0,31.0,0.0,2018.0,0.0
"2012 Member, City Council, District 6 - San Leandro Nov 2012",San Leandro,CA,2012,11/6/2012,County Council District 6,rcv_single_winner,True,False,3,1,1,SanLeandro_11062012_CountyCouncilDistrict6_tab1,Jim Prola,2,1,12873.0,54.32333206735029,23697.0,12873.0,54.32333206735029,23697.0,1,54.32333206735029,84.32291007300502,yes,no,0: 5006; 1: 8666; 2: 13747; 3: 1284,60.0,8683.0,15056.0,1284.0,14812.0,19982,10955.0,187.0,11172.0,28703.0,118.0,4946.0,60.0,0.0,0.0,0.0,0.0,0.0
Minneapolis Mayor 2013,Minneapolis,MN,2013,11/5/2013,Mayor,rcv_single_winner,False,False,3,1,1,Minneapolis_11052013_Mayor_tab1,Betsy Hodges,35,35,38870.0,60.88468406378246,63842.0,28962.0,36.46918088522319,79415.0,1,48.945413335012276,62.48567650947554,yes,no,0: 686; 1: 11044; 2: 9427; 3: 58944,104.0,11044.0,68371.0,58944.0,58944.0,49623,1742.0,292.0,2172.0,80101.0,189.0,639.0,47.0,15573.0,0.0,0.0,5424.0,10149.0
