Candidate 0000403PATRICIA KERNIGHAN                                0000001000003500
Candidate 0000404JENNIFER S. PAE                                   0000002000003500
Candidate 0000078Write-In                                          0000003000003510
Precinct  0000273335300                                            0000272000000000
Precinct  0000274335400                                            0000273000000000
Precinct  0000275335500                                            0000274000000000
Precinct  0000276335600                                            0000275000000000
Precinct  0000277335700                                            0000276000000000
Precinct  0000278335800                                            0000277000000000
Precinct  0000279335900                                            0000278000000000
Precinct  0000280336100                                            0000279000000000
Precinct  0000281336200                                            0000280000000000
Precinct  0000282336400                                            0000281000000000
Precinct  0000283336500                                            0000282000000000
Precinct  0000284336600                                            0000283000000000
Precinct  0000285336710                                            0000284000000000
Precinct  0000286336900                                            0000285000000000
Precinct  0000287337000                                            0000286000000000
Precinct  0000288337100                                            0000287000000000
Precinct  0000289337110                                            0000288000000000
Precinct  0000290344000                                            0000289000000000
Precinct  0000291344010                                            0000290000000000
Precinct  0000292344100                                            0000291000000000
Precinct  0000293344200                                            0000292000000000
Precinct  0000294344300                                            0000293000000000
Precinct  0000295344400                                            0000294000000000
Precinct  0000296344500                                            0000295000000000
Precinct  0000297344600                                            0000296000000000
Precinct  0000298344700                                            0000297000000000
Precinct  0000299344800                                            0000298000000000
Precinct  0000300344900                                            0000299000000000
Precinct  0000301345000                                            0000300000000000
Precinct  0000302345100                                            0000301000000000
Precinct  0000303345200                                            0000302000000000
Precinct  0000304345310                                            0000303000000000
Precinct  0000305345400                                            0000304000000000
Precinct  0000306345500                                            0000305000000000
Precinct  0000307345600                                            0000306000000000
Precinct  0000308345700                                            0000307000000000
Precinct  0000309345800                                            0000308000000000
Precinct  0000310345900                                            0000309000000000
Precinct  0000311346000                                            0000310000000000
Precinct  0000312346100                                            0000311000000000
Precinct  0000313346200                                            0000312000000000
Precinct  0000314347100                                            0000313000000000
Precinct  0000315347200                                            0000314000000000
Precinct  0000316347300                                            0000315000000000
Precinct  0000317353300                                            0000316000000000
Precinct  0000318353310                                            0000317000000000
Precinct  0000319353400                                            0000318000000000
Precinct  0000320353500                                            0000319000000000
Precinct  0000321353600                                            0000320000000000
Precinct  0000322353800                                            0000321000000000
Precinct  0000323353900                                            0000322000000000
Precinct  0000324354000                                            0000323000000000
Precinct  0000325354100                                            0000324000000000
Precinct  0000326354110                                            0000325000000000
Precinct  0000327354300                                            0000326000000000
Precinct  0000328354400                                            0000327000000000
Precinct  0000329354500                                            0000328000000000
Precinct  0000330354700                                            0000329000000000
Precinct  0000331354900                                            0000330000000000
Precinct  0000332354910                                            0000331000000000
Precinct  0000333355100                                            0000332000000000
Precinct  0000334356000                                            0000333000000000
Precinct  0000335356200                                            0000334000000000
Precinct  0000336356210                                            0000335000000000
Precinct  0000337356500                                            0000336000000000
Precinct  0000338361100                                            0000337000000000
Precinct  0000339361110                                            0000338000000000
Precinct  0000340361200                                            0000339000000000
Precinct  0000341361400                                            0000340000000000
Precinct  0000342362000                                            0000341000000000
Precinct  0000343362100                                            0000342000000000
Precinct  0000344362110                                            0000343000000000
Precinct  0000345362300                                            0000344000000000
Precinct  0000346362510                                            0000345000000000
Precinct  0000347362600                                            0000346000000000
Precinct  0000348362800                                            0000347000000000
Precinct  0000349362900                                            0000348000000000
Precinct  0000350363000                                            0000349000000000
Precinct  0000351363100                                            0000350000000000
Precinct  0000352363200                                            0000351000000000
Precinct  0000353363310                                            0000352000000000
Precinct  0000354363600                                            0000353000000000
Precinct  0000355364200                                            0000354000000000
Precinct  0000356364300                                            0000355000000000
Precinct  0000357364310                                            0000356000000000
Precinct  0000358364400                                            0000357000000000
Precinct  0000359364510                                            0000358000000000
Precinct  0000360364600                                            0000359000000000
Precinct  0000361364700                                            0000360000000000
Precinct  0000362364800                                            0000361000000000
Precinct  0000363364900                                            0000362000000000
Precinct  0000364365000                                            0000363000000000
Precinct  0000365365200                                            0000364000000000
Precinct  0000366373100                                            0000365000000000
Precinct  0000367373400                                            0000366000000000
Precinct  0000368373500                                            0000367000000000
Precinct  0000369373900                                            0000368000000000
Precinct  0000370380200                                            0000369000000000
Precinct  0000371380300                                            0000370000000000
Precinct  0000372380400                                            0000371000000000
Precinct  0000373380600                                            0000372000000000
Precinct  0000374380700                                            0000373000000000
Precinct  0000375400100                                            0000374000000000
Precinct  0000376400200                                            0000375000000000
Precinct  0000377400300                                            0000376000000000
Precinct  0000378400400                                            0000377000000000
Precinct  0000379400500                                            0000378000000000
Precinct  0000380400600                                            0000379000000000
Precinct  0000381400700                                            0000380000000000
Precinct  0000382400800                                            0000381000000000
Precinct  0000383400900                                            0000382000000000
Precinct  0000384401100                                            0000383000000000
Precinct  0000385410100                                            0000384000000000
Precinct  0000386410110                                            0000385000000000
Precinct  0000387410300                                            0000386000000000
Precinct  0000388410400                                            0000387000000000
