Candidate 0000025CHRIS CUNNIE                                      0000001000000200
Candidate 0000026DAVID WONG                                        0000002000000200
Candidate 0000027PAUL MIYAMOTO                                     0000003000000200
Candidate 0000028ROSS MIRKARIMI                                    0000004000000200
Candidate 0000002WRITE-IN                                          0000005000000210
Precinct  0000344Pct 3652                                          0000344000000000
Precinct  0000345Pct 3653                                          0000345000000000
Precinct  0000346Pct 3654                                          0000346000000000
Precinct  0000347Pct 3655 MB                                       0000347000000000
Precinct  0000348Pct 3656                                          0000348000000000
Precinct  0000349Pct 3657                                          0000349000000000
Precinct  0000350Pct 3658                                          0000350000000000
Precinct  0000351Pct 3659                                          0000351000000000
Precinct  0000352Pct 3701 MB                                       0000352000000000
Precinct  0000353Pct 3702 MB                                       0000353000000000
Precinct  0000354Pct 3703                                          0000354000000000
Precinct  0000355Pct 3801                                          0000355000000000
Precinct  0000356Pct 3802                                          0000356000000000
Precinct  0000357Pct 3803/3804                                     0000357000000000
Precinct  0000358Pct 3805/3811                                     0000358000000000
Precinct  0000359Pct 3806/3812                                     0000359000000000
Precinct  0000360Pct 3807                                          0000360000000000
Precinct  0000361Pct 3808                                          0000361000000000
Precinct  0000362Pct 3809                                          0000362000000000
Precinct  0000363Pct 3813/3814                                     0000363000000000
Precinct  0000364Pct 3815                                          0000364000000000
Precinct  0000365Pct 3816                                          0000365000000000
Precinct  0000366Pct 3817                                          0000366000000000
Precinct  0000367Pct 3818                                          0000367000000000
Precinct  0000368Pct 3821/3819                                     0000368000000000
Precinct  0000369Pct 3823/3822                                     0000369000000000
Precinct  0000370Pct 3824/3832                                     0000370000000000
Precinct  0000371Pct 3826                                          0000371000000000
Precinct  0000372Pct 3828/3838                                     0000372000000000
Precinct  0000373Pct 3829                                          0000373000000000
Precinct  0000374Pct 3831                                          0000374000000000
Precinct  0000375Pct 3833/3825                                     0000375000000000
Precinct  0000376Pct 3834/3844                                     0000376000000000
Precinct  0000377Pct 3835                                          0000377000000000
Precinct  0000378Pct 3836                                          0000378000000000
Precinct  0000379Pct 3837/3827                                     0000379000000000
Precinct  0000380Pct 3839                                          0000380000000000
Precinct  0000381Pct 3842/3841                                     0000381000000000
Precinct  0000382Pct 3843                                          0000382000000000
Precinct  0000383Pct 3845                                          0000383000000000
Precinct  0000384Pct 3846/3853                                     0000384000000000
Precinct  0000385Pct 3847                                          0000385000000000
Precinct  0000386Pct 3848                                          0000386000000000
Precinct  0000387Pct 3849/3851                                     0000387000000000
Precinct  0000388Pct 3852                                          0000388000000000
Precinct  0000389Pct 3854/3858                                     0000389000000000
Precinct  0000390Pct 3855                                          0000390000000000
Precinct  0000391Pct 3859/3864                                     0000391000000000
Precinct  0000392Pct 3861/3856                                     0000392000000000
Precinct  0000393Pct 3862/3857                                     0000393000000000
Precinct  0000394Pct 3865/3868                                     0000394000000000
Precinct  0000395Pct 3866/3863                                     0000395000000000
Precinct  0000396Pct 3867                                          0000396000000000
Precinct  0000397Pct 3869 MB                                       0000397000000000
Precinct  0000398Pct 3871                                          0000398000000000
Precinct  0000399Pct 3872                                          0000399000000000
Precinct  0000400Pct 3902                                          0000400000000000
Precinct  0000401Pct 3903/3901                                     0000401000000000
Precinct  0000402Pct 3904                                          0000402000000000
Precinct  0000403Pct 3905                                          0000403000000000
Precinct  0000404Pct 3906                                          0000404000000000
Precinct  0000405Pct 3907                                          0000405000000000
Precinct  0000406Pct 3908                                          0000406000000000
Precinct  0000407Pct 3909                                          0000407000000000
Precinct  0000408Pct 3911                                          0000408000000000
Precinct  0000409Pct 3912/3913                                     0000409000000000
Precinct  0000410Pct 3914                                          0000410000000000
Precinct  0000411Pct 3915                                          0000411000000000
Precinct  0000412Pct 3916                                          0000412000000000
Precinct  0000413Pct 3917                                          0000413000000000
Precinct  0000414Pct 3918                                          0000414000000000
Precinct  0000415Pct 3919                                          0000415000000000
Precinct  0000416Pct 3921                                          0000416000000000
Precinct  0000417Pct 3922                                          0000417000000000
Precinct  0000418Pct 3924/3923                                     0000418000000000
Precinct  0000419Pct 3925                                          0000419000000000
Precinct  0000420Pct 3926                                          0000420000000000
Precinct  0000421Pct 3927                                          0000421000000000
Precinct  0000422Pct 3928/3929                                     0000422000000000
Precinct  0000423Pct 3931                                          0000423000000000
Precinct  0000424Pct 3932/3933                                     0000424000000000
Precinct  0000425Pct 3934                                          0000425000000000
Precinct  0000426Pct 3935                                          0000426000000000
Precinct  0000427Pct 3936/3937                                     0000427000000000
Precinct  0000428Pct 3938 MB                                       0000428000000000
Precinct  0000429Pct 3939 MB                                       0000429000000000
Tally Type0000001Election Day - Insight                            0000001000000000
Tally Type0000002VBM / EV - 400c 1st Cut                           0000002000000000
Tally Type0000003Provisional - 400C                                0000003000000000
Tally Type0000004Election Day - 400C                               0000004000000000
Tally Type0000005Election Day - Edge                               0000005000000000
Tally Type0000006Election Day - Edge Dups                          0000006000000000
Tally Type0000009VBM / EV - 400c 2nd Cut                           0000007000000000
