Candidate 0000036FRANCISCO HERRERA                                 0000001000000100
Candidate 0000042VICKI HENNESSY                                    0000001000000200
Candidate 0000045AARON PESKIN                                      0000001000000300
Candidate 0000037ED LEE                                            0000002000000100
Candidate 0000043JOHN ROBINSON                                     0000002000000200
Candidate 0000046WILMA PANG                                        0000002000000300
Candidate 0000038REED MARTIN                                       0000003000000100
Candidate 0000044ROSS MIRKARIMI                                    0000003000000200
Candidate 0000047JULIE CHRISTENSEN                                 0000003000000300
Candidate 0000002WRITE-IN                                          0000004000000210
Candidate 0000003WRITE-IN                                          0000004000000310
Candidate 0000039AMY FARAH WEISS                                   0000004000000100
Candidate 0000040KENT GRAHAM                                       0000005000000100
Candidate 0000041STUART SCHUFFMAN                                  0000006000000100
Candidate 0000001WRITE-IN                                          0000007000000110
Candidate 0000061WRITE-IN - JOHN E. FITCH                          0000008000000110
Candidate 0000062WRITE-IN - KARLA GOTTSCHALK (a.k.a BELLE STARR)   0000009000000110
Candidate 0000063WRITE-IN - ROBERT L. JORDAN, JR.                  0000010000000110
Candidate 0000064WRITE-IN - DANIEL C KAPPLER                       0000011000000110
Candidate 0000065WRITE-IN - IGNACIO L. NUNEZ                       0000012000000110
Candidate 0000066WRITE-IN - MICHAEL PETRELIS                       0000013000000110
Precinct  0000366Pct 9703                                          0000366000000000
Precinct  0000367Pct 9704/9705                                     0000367000000000
Precinct  0000368Pct 9706 MB                                       0000368000000000
Precinct  0000369Pct 9708/9707                                     0000369000000000
Precinct  0000370Pct 9711                                          0000370000000000
Precinct  0000371Pct 9712                                          0000371000000000
Precinct  0000372Pct 9713/9709                                     0000372000000000
Precinct  0000373Pct 9714                                          0000373000000000
Precinct  0000374Pct 9715                                          0000374000000000
Precinct  0000375Pct 9716/9717                                     0000375000000000
Precinct  0000376Pct 9718                                          0000376000000000
Precinct  0000377Pct 9721/9719                                     0000377000000000
Precinct  0000378Pct 9722                                          0000378000000000
Precinct  0000379Pct 9723                                          0000379000000000
Precinct  0000380Pct 9725/9724                                     0000380000000000
Precinct  0000381Pct 9726                                          0000381000000000
Precinct  0000382Pct 9727/9742                                     0000382000000000
Precinct  0000383Pct 9728/9748                                     0000383000000000
Precinct  0000384Pct 9729/9734                                     0000384000000000
Precinct  0000385Pct 9731/9735                                     0000385000000000
Precinct  0000386Pct 9732 MB                                       0000386000000000
Precinct  0000387Pct 9733 MB                                       0000387000000000
Precinct  0000388Pct 9737/9736                                     0000388000000000
Precinct  0000389Pct 9738                                          0000389000000000
Precinct  0000390Pct 9741                                          0000390000000000
Precinct  0000391Pct 9744/9739                                     0000391000000000
Precinct  0000392Pct 9745/9743                                     0000392000000000
Precinct  0000393Pct 9746                                          0000393000000000
Precinct  0000394Pct 9747                                          0000394000000000
Precinct  0000395Pct 9749                                          0000395000000000
Precinct  0000396Pct 9751                                          0000396000000000
Precinct  0000397Pct 9752/9753                                     0000397000000000
Precinct  0000398Pct 9755/9754                                     0000398000000000
Precinct  0000399Pct 9756                                          0000399000000000
Precinct  0000400Pct 9801                                          0000400000000000
Precinct  0000401Pct 9900 MB                                       0000401000000000
Precinct  0000402Pct 9901 MB                                       0000402000000000
Precinct  0000403Pct 9902 MB                                       0000403000000000
Tally Type0000001Election Day - Insight                            0000001000000000
Tally Type0000002VBM / EV - 400c 1st Cut                           0000002000000000
Tally Type0000003Provisional - 400C                                0000003000000000
Tally Type0000004Election Day - 400C                               0000004000000000
Tally Type0000005Election Day - Edge                               0000005000000000
Tally Type0000006Election Day - Edge Dups                          0000006000000000
Tally Type0000009VBM / EV - 400c 2nd Cut                           0000007000000000
