contest,place,state,year,date,office,break_on_overvote,break_on_repeated_skipvotes,multi_winner_rounds,master_lookup,candidate_map,parser,idparser,rcv_type,num_winners,path
Minneapolis City Council Ward 1 2009,Minneapolis,MN,2009,11/6/2009,Ward 1 City Council,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 1.xls.csv
Minneapolis City Council Ward 10 2009,Minneapolis,MN,2009,11/6/2009,Ward 10 City Council,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 10.xls.csv
Minneapolis City Council Ward 11 2009,Minneapolis,MN,2009,11/6/2009,Ward 11 City Council,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 11.xls.csv
Minneapolis City Council Ward 12 2009,Minneapolis,MN,2009,11/6/2009,Ward 12 City Council,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 12.xls.csv
Minneapolis City Council Ward 13 2009,Minneapolis,MN,2009,11/6/2009,Ward 13 City Council,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 13.xls.csv
Minneapolis City Council Ward 2 2009,Minneapolis,MN,2009,11/6/2009,Ward 2 City Council,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 2.xls.csv
Minneapolis City Council Ward 3 2009,Minneapolis,MN,2009,11/6/2009,Ward 3 City Council,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 3.xls.csv
Minneapolis City Council Ward 4 2009,Minneapolis,MN,2009,11/6/2009,Ward 4 City Council,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 4.xls.csv
Minneapolis City Council Ward 5 2009,Minneapolis,MN,2009,11/6/2009,Ward 5 City Council,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 5.xls.csv
Minneapolis City Council Ward 6 2009,Minneapolis,MN,2009,11/6/2009,Ward 6 City Council,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 6.xls.csv
Minneapolis City Council Ward 7 2009,Minneapolis,MN,2009,11/6/2009,Ward 7 City Council,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 7.xls.csv
Minneapolis City Council Ward 8 2009,Minneapolis,MN,2009,11/6/2009,Ward 8 City Council,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 8.xls.csv
Minneapolis City Council Ward 9 2009,Minneapolis,MN,2009,11/6/2009,Ward 9 City Council,FALSE,TRUE,,,,minneapolis,,rcv_single_winner,1,Ballot_Images/Minneapolis/2009/csv2009/Minneapolis 2009 Council Member Ward 9.xls.csv
2010 City Auditor - Berkeley Nov 2010cam,Berkeley,CA,2010,11/2/2010,City Auditor,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_City Auditor - Berkeley_Nov 2010.txt"
"2010 Member, City Council, District 1 - Berkeley Nov 2010",Berkeley,CA,2010,11/2/2010,City Council District 1,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 1 - Berkeley_Nov 2010.txt"
"2010 Member, City Council, District 4 - Berkeley Nov 2010",Berkeley,CA,2010,11/2/2010,City Council District 4,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 4 - Berkeley_Nov 2010.txt"
"2010 Member, City Council, District 7 - Berkeley Nov 2010",Berkeley,CA,2010,11/2/2010,City Council District 7,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 7 - Berkeley_Nov 2010.txt"
"2010 Member, City Council, District 8 - Berkeley Nov 2010",Berkeley,CA,2010,11/2/2010,City Council District 8,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 8 - Berkeley_Nov 2010.txt"
2010 City Auditor - Oakland Nov 2010,Oakland,CA,2010,11/2/2010,City Auditor,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_City Auditor - Oakland_Nov 2010.txt"
2010 Mayor of Oakland Nov 2010,Oakland,CA,2010,11/2/2010,Mayor,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Mayor of Oakland_Nov 2010.txt"
"2010 Member, City Council, District 2 - Oakland Nov 2010",Oakland,CA,2010,11/2/2010,City Council District 2,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 2 - Oakland_Nov 2010.txt"
